episode_id,blank_id,answer,alt_answers,in_source,answer_from,evidence,hint
s0201,C,네이팜탄,,,B,,환경부 보도자료(B)에서 산림을 소실시킨 폭격 무기를 확인하세요.
s0201,D,생태 통로,생태통로,,B,,환경부 보도자료(B)에서 백두대간과 연결되는 DMZ의 역할을 확인하세요.
s0202,A,시베리아,,,B,,뉴스 보도(B)에서 두루미의 번식지를 확인하세요.
s0202,B,재두루미,,,D,,구술 인터뷰(D)에서 두루미보다 더 많은 종을 확인하세요.
s0202,C1,202,,,B,,뉴스 보도(B)에서 두루미의 천연기념물 번호를 확인하세요.
s0202,C2,203,,,B,,뉴스 보도(B)에서 재두루미의 천연기념물 번호를 확인하세요.
s0202,D,학,,,A,,두루미의 일기(A)에서 두루미의 다른 이름을 확인하세요.
s0203,A,사향노루,,,B,,보고서(B)에서 천연기념물 제216호의 종명을 확인하세요.
s0203,B,반달가슴곰,,,A,,트위터(A)에서 무인카메라에 처음 포착된 동물을 확인하세요.
s0203,C,분홍장구채,,,B,,보고서(B)에서 멸종위기 II급 식물의 이름을 확인하세요.
s0203,D,수원청개구리,,,B,,보고서(B)에서 논에 사는 멸종위기 I급 양서류를 확인하세요.
s0204,A,야생생물,,,B,,환경부 보도자료(B)에서 확인된 생물의 총칭을 확인하세요.
s0204,B,곤충류,곤충,,A,,"트위터(A)에서 2,954종에 해당하는 분류군을 확인하세요."
s0204,C,포유류,,,B,,환경부 보도자료(B)에서 47종에 해당하는 분류군을 확인하세요.
s0204,D,곤충류,곤충,,B,,"환경부 보도자료(B)에서 2,954종의 분류군을 확인하세요."
s0205,A,강원생태평화,,,B,,백과사전(B)에서 강원도 접경 5개 군에 걸쳐 있는 생물권보전지역 이름을 확인하세요.
s0205,B,연천임진강,,,A,,블로그(A)에서 연천군 전역과 임진강 유역이 포함된 보전지역 이름을 확인하세요.
s0205,C,핵심구역,Core Area,,B,,백과사전(B)에서 출입이 엄격히 제한되는 구역의 이름을 확인하세요.
s0205,D,MAB,유네스코;MAB 프로그램,,B,,백과사전(B)에서 유네스코가 운영하는 프로그램 약자를 확인하세요.
s0206,A,대암산,,,B,,용늪 이모저모(B)에서 용늪이 위치한 산 이름을 확인하세요.
s0206,B,이탄층,,,A,,용늪의 독백(A)에서 죽은 이끼가 쌓여서 된 것의 이름을 확인하세요.
s0206,C,고층습원,,,A,,용늪의 독백(A)에서 용늪의 유형을 확인하세요.
s0206,D,이끼,,,B,,용늪 이모저모(B)의 이탄층 설명에서 주요 식물을 확인하세요.
s0301,A,"17,900",17900,,B,,보도자료(B)에서 출토 유물 수를 확인하세요.
s0301,B,세계문화유산,세계유산,,B,,보도자료(B)에서 2013년 등재된 명칭을 확인하세요.
s0301,C,12,,,B,,보도자료(B)에서 개성역사유적지구의 유적 수를 확인하세요.
s0301,D,금속활자,,,A,,일기(A)에서 유물 중 특별한 발견을 확인하세요.
s0302,A,신라,,,B,,신문 보도(B)에서 경순왕의 왕조를 확인하세요.
s0302,B,연천군,,,D,,카카오톡(D)에서 왕릉 소재지를 확인하세요.
s0302,C,사적,,,B,,신문 보도(B)에서 왕릉의 문화재 지정 유형을 확인하세요.
s0302,D,지뢰,,,B,,신문 보도(B)에서 왕릉 주변에 매설된 것을 확인하세요.
s0303,A,동의보감,,,B,,신문 보도(B)에서 유네스코에 등재된 의학서 이름을 확인하세요.
s0303,B,세계기록유산,,,C,,구술 인터뷰(D) 또는 사진(C)에서 유네스코 등재 유형을 확인하세요.
s0303,C,파주시,,,D,,구술 인터뷰(D)에서 해설사의 소속 지역을 확인하세요.
s0303,D,25,,,A,,일기(A) 또는 구술(D)에서 동의보감의 권수를 확인하세요.
s0304,A,병자호란,,,B,,신문 보도(B)에서 전쟁의 이름을 확인하세요.
s0304,B,홍명구,,,B,,"신문 보도(B)에서 2,000명을 이끈 장군 이름을 확인하세요."
s0304,C,매두분,,,D,,구술 인터뷰(D)에서 전골총 옆의 무덤 이름을 확인하세요.
s0304,D,DMZ,,,D,,구술 인터뷰(D)에서 접근 불가능한 이유를 확인하세요.
s0305,A,한탄강,,,B,,신문 보도(B)에서 석기 발견 장소를 확인하세요.
s0305,B,모비우스,,,A,,편지(A)에서 언급된 교수 이름을 확인하세요.
s0305,C,아슐리안,,,B,,신문 보도(B)에서 주먹도끼의 유형명을 확인하세요.
s0305,D,동아시아,,,D,,구술 인터뷰(D)에서 이 발견이 뒤집은 이론의 대상 지역을 확인하세요.
s0306,A,궁예,,,D,,구술 인터뷰(D)에서 철원성을 세운 인물을 확인하세요.
s0306,B,군사분계선,,,D,,구술 인터뷰(D)에서 철원성을 가르는 선의 이름을 확인하세요.
s0306,C,"12,306",12306,,B,,신문 보도(B)에서 외성 둘레를 확인하세요.
s0306,D,평화전망대,,,A,,일기(A)에서 역사학자가 올라간 장소를 확인하세요.
