시나리오 ID,시나리오 타이틀,leaf 좌표,1차 ID,1차 선택,1차 시간비용,1차 에너지비용,더 자세히 ID,더 자세히 선택,더 자세히 시간비용,더 자세히 에너지비용,검토 ID,검토 선택,검토 시간비용,검토 에너지비용,resourceCosts.time,resourceCosts.energy
selfintro,자기소개 글,B1R2,B,AI에게 시작을 도움받는다,5,4,B1,AI에게 자기소개 질문을 받고 답해 글을 만든다,6,5,R2,한 번 읽고 이상한 곳만 표시,5,4,16,13
selfintro,자기소개 글,B1R3,B,AI에게 시작을 도움받는다,5,4,B1,AI에게 자기소개 질문을 받고 답해 글을 만든다,6,5,R3,처음부터 다시 읽고 내 얘기인지 확인,10,8,21,17
selfintro,자기소개 글,B2R1,B,AI에게 시작을 도움받는다,5,4,B2,AI에게 글의 순서를 받고 내 이야기에 맞게 바꾼다,8,7,R1,그대로 제출,2,1,15,12
selfintro,자기소개 글,B2R2,B,AI에게 시작을 도움받는다,5,4,B2,AI에게 글의 순서를 받고 내 이야기에 맞게 바꾼다,8,7,R2,한 번 읽고 이상한 곳만 표시,5,4,18,15
selfintro,자기소개 글,B2R3,B,AI에게 시작을 도움받는다,5,4,B2,AI에게 글의 순서를 받고 내 이야기에 맞게 바꾼다,8,7,R3,처음부터 다시 읽고 내 얘기인지 확인,10,8,23,19
selfintro,자기소개 글,B3R1,B,AI에게 시작을 도움받는다,5,4,B3,AI 초안을 받고 좋아 보이는 문장과 내 메모를 섞어 글을 만든다,10,9,R1,그대로 제출,2,1,17,14
selfintro,자기소개 글,B3R2,B,AI에게 시작을 도움받는다,5,4,B3,AI 초안을 받고 좋아 보이는 문장과 내 메모를 섞어 글을 만든다,10,9,R2,한 번 읽고 이상한 곳만 표시,5,4,20,17
selfintro,자기소개 글,B3R3,B,AI에게 시작을 도움받는다,5,4,B3,AI 초안을 받고 좋아 보이는 문장과 내 메모를 섞어 글을 만든다,10,9,R3,처음부터 다시 읽고 내 얘기인지 확인,10,8,25,21
selfintro,자기소개 글,C1R1,C,AI에게 자기소개를 맡겨본다,3,3,C1,아무 정보 없이 AI에게 바로 써달라고 한다,2,2,R1,그대로 제출,2,1,7,6
selfintro,자기소개 글,C1R2,C,AI에게 자기소개를 맡겨본다,3,3,C1,아무 정보 없이 AI에게 바로 써달라고 한다,2,2,R2,한 번 읽고 이상한 곳만 표시,5,4,10,9
selfintro,자기소개 글,C1R3,C,AI에게 자기소개를 맡겨본다,3,3,C1,아무 정보 없이 AI에게 바로 써달라고 한다,2,2,R3,처음부터 다시 읽고 내 얘기인지 확인,10,8,15,13
selfintro,자기소개 글,C2R1,C,AI에게 자기소개를 맡겨본다,3,3,C2,내 정보 몇 가지만 넣어 AI에게 써달라고 한다,4,3,R1,그대로 제출,2,1,9,7
selfintro,자기소개 글,C2R2,C,AI에게 자기소개를 맡겨본다,3,3,C2,내 정보 몇 가지만 넣어 AI에게 써달라고 한다,4,3,R2,한 번 읽고 이상한 곳만 표시,5,4,12,10
selfintro,자기소개 글,C2R3,C,AI에게 자기소개를 맡겨본다,3,3,C2,내 정보 몇 가지만 넣어 AI에게 써달라고 한다,4,3,R3,처음부터 다시 읽고 내 얘기인지 확인,10,8,17,14
selfintro,자기소개 글,C3R1,C,AI에게 자기소개를 맡겨본다,3,3,C3,AI 글을 받은 뒤 내 글로 다시 쓴다,10,8,R1,그대로 제출,2,1,15,12
selfintro,자기소개 글,C3R2,C,AI에게 자기소개를 맡겨본다,3,3,C3,AI 글을 받은 뒤 내 글로 다시 쓴다,10,8,R2,한 번 읽고 이상한 곳만 표시,5,4,18,15
selfintro,자기소개 글,C3R3,C,AI에게 자기소개를 맡겨본다,3,3,C3,AI 글을 받은 뒤 내 글로 다시 쓴다,10,8,R3,처음부터 다시 읽고 내 얘기인지 확인,10,8,23,19
groupwork,모둠 발표 자료,A1R1,A,모둠과 먼저 방향을 정한다,12,10,A1,모둠원들과 발표 질문을 먼저 정한다,12,10,R1,그대로 제출,2,1,26,21
groupwork,모둠 발표 자료,A1R2,A,모둠과 먼저 방향을 정한다,12,10,A1,모둠원들과 발표 질문을 먼저 정한다,12,10,R2,한 번 읽고 이상한 곳만 표시,6,5,30,25
groupwork,모둠 발표 자료,A1R3,A,모둠과 먼저 방향을 정한다,12,10,A1,모둠원들과 발표 질문을 먼저 정한다,12,10,R3,출처 확인 + 모둠 흐름 맞추기,13,11,37,31
groupwork,모둠 발표 자료,A2R1,A,모둠과 먼저 방향을 정한다,12,10,A2,역할을 나누고 각자 맡을 내용을 정한다,10,9,R1,그대로 제출,2,1,24,20
groupwork,모둠 발표 자료,A2R2,A,모둠과 먼저 방향을 정한다,12,10,A2,역할을 나누고 각자 맡을 내용을 정한다,10,9,R2,한 번 읽고 이상한 곳만 표시,6,5,28,24
groupwork,모둠 발표 자료,A2R3,A,모둠과 먼저 방향을 정한다,12,10,A2,역할을 나누고 각자 맡을 내용을 정한다,10,9,R3,출처 확인 + 모둠 흐름 맞추기,13,11,35,30
groupwork,모둠 발표 자료,A3R1,A,모둠과 먼저 방향을 정한다,12,10,A3,내가 맡은 내용을 먼저 이해하고 말로 정리한다,11,9,R1,그대로 제출,2,1,25,20
groupwork,모둠 발표 자료,A3R2,A,모둠과 먼저 방향을 정한다,12,10,A3,내가 맡은 내용을 먼저 이해하고 말로 정리한다,11,9,R2,한 번 읽고 이상한 곳만 표시,6,5,29,24
groupwork,모둠 발표 자료,A3R3,A,모둠과 먼저 방향을 정한다,12,10,A3,내가 맡은 내용을 먼저 이해하고 말로 정리한다,11,9,R3,출처 확인 + 모둠 흐름 맞추기,13,11,36,30
groupwork,모둠 발표 자료,B1R1,B,AI로 발표 준비를 빠르게 만들어본다,5,4,B1,AI에게 발표 주제와 개요를 부탁한다,6,5,R1,그대로 제출,2,1,13,10
groupwork,모둠 발표 자료,B1R2,B,AI로 발표 준비를 빠르게 만들어본다,5,4,B1,AI에게 발표 주제와 개요를 부탁한다,6,5,R2,한 번 읽고 이상한 곳만 표시,6,5,17,14
groupwork,모둠 발표 자료,B1R3,B,AI로 발표 준비를 빠르게 만들어본다,5,4,B1,AI에게 발표 주제와 개요를 부탁한다,6,5,R3,출처 확인 + 모둠 흐름 맞추기,13,11,24,20
groupwork,모둠 발표 자료,B2R1,B,AI로 발표 준비를 빠르게 만들어본다,5,4,B2,AI에게 슬라이드 문구를 만들어 달라고 한다,6,6,R1,그대로 제출,2,1,13,11
groupwork,모둠 발표 자료,B2R2,B,AI로 발표 준비를 빠르게 만들어본다,5,4,B2,AI에게 슬라이드 문구를 만들어 달라고 한다,6,6,R2,한 번 읽고 이상한 곳만 표시,6,5,17,15
groupwork,모둠 발표 자료,B2R3,B,AI로 발표 준비를 빠르게 만들어본다,5,4,B2,AI에게 슬라이드 문구를 만들어 달라고 한다,6,6,R3,출처 확인 + 모둠 흐름 맞추기,13,11,24,21
groupwork,모둠 발표 자료,B3R1,B,AI로 발표 준비를 빠르게 만들어본다,5,4,B3,AI에게 발표 대본까지 맡긴다,5,5,R1,그대로 제출,2,1,12,10
groupwork,모둠 발표 자료,B3R2,B,AI로 발표 준비를 빠르게 만들어본다,5,4,B3,AI에게 발표 대본까지 맡긴다,5,5,R2,한 번 읽고 이상한 곳만 표시,6,5,16,14
groupwork,모둠 발표 자료,B3R3,B,AI로 발표 준비를 빠르게 만들어본다,5,4,B3,AI에게 발표 대본까지 맡긴다,5,5,R3,출처 확인 + 모둠 흐름 맞추기,13,11,23,20
groupwork,모둠 발표 자료,C1R1,C,각자 따로 준비하거나 발표 모양부터 만든다,4,3,C1,모둠 회의 없이 각자 자료를 찾아 합친다,7,6,R1,그대로 제출,2,1,13,10
groupwork,모둠 발표 자료,C1R2,C,각자 따로 준비하거나 발표 모양부터 만든다,4,3,C1,모둠 회의 없이 각자 자료를 찾아 합친다,7,6,R2,한 번 읽고 이상한 곳만 표시,6,5,17,14
groupwork,모둠 발표 자료,C1R3,C,각자 따로 준비하거나 발표 모양부터 만든다,4,3,C1,모둠 회의 없이 각자 자료를 찾아 합친다,7,6,R3,출처 확인 + 모둠 흐름 맞추기,13,11,24,20
groupwork,모둠 발표 자료,C2R1,C,각자 따로 준비하거나 발표 모양부터 만든다,4,3,C2,발표를 잘하는 친구나 한 사람에게 많이 맡긴다,4,3,R1,그대로 제출,2,1,10,7
groupwork,모둠 발표 자료,C2R2,C,각자 따로 준비하거나 발표 모양부터 만든다,4,3,C2,발표를 잘하는 친구나 한 사람에게 많이 맡긴다,4,3,R2,한 번 읽고 이상한 곳만 표시,6,5,14,11
groupwork,모둠 발표 자료,C2R3,C,각자 따로 준비하거나 발표 모양부터 만든다,4,3,C2,발표를 잘하는 친구나 한 사람에게 많이 맡긴다,4,3,R3,출처 확인 + 모둠 흐름 맞추기,13,11,21,17
groupwork,모둠 발표 자료,C3R1,C,각자 따로 준비하거나 발표 모양부터 만든다,4,3,C3,자료보다 발표 모양을 먼저 만든다,6,5,R1,그대로 제출,2,1,12,9
groupwork,모둠 발표 자료,C3R2,C,각자 따로 준비하거나 발표 모양부터 만든다,4,3,C3,자료보다 발표 모양을 먼저 만든다,6,5,R2,한 번 읽고 이상한 곳만 표시,6,5,16,13
groupwork,모둠 발표 자료,C3R3,C,각자 따로 준비하거나 발표 모양부터 만든다,4,3,C3,자료보다 발표 모양을 먼저 만든다,6,5,R3,출처 확인 + 모둠 흐름 맞추기,13,11,23,19
eorinwangja,어린왕자 독후감,A1R1,A,책을 직접 읽고 쓴다,18,15,A1,처음부터 읽고 짧게라도 독후감을 쓴다,18,14,R1,그대로 제출,2,1,38,30
eorinwangja,어린왕자 독후감,A1R2,A,책을 직접 읽고 쓴다,18,15,A1,처음부터 읽고 짧게라도 독후감을 쓴다,18,14,R2,한 번 읽고 이상한 곳만 표시,6,5,42,34
eorinwangja,어린왕자 독후감,A1R3,A,책을 직접 읽고 쓴다,18,15,A1,처음부터 읽고 짧게라도 독후감을 쓴다,18,14,R3,출처 확인 + 크로스체크,14,11,50,40
eorinwangja,어린왕자 독후감,A2R1,A,책을 직접 읽고 쓴다,18,15,A2,읽다가 밑줄 친 문장이나 장면을 중심으로 쓴다,14,11,R1,그대로 제출,2,1,34,27
eorinwangja,어린왕자 독후감,A2R2,A,책을 직접 읽고 쓴다,18,15,A2,읽다가 밑줄 친 문장이나 장면을 중심으로 쓴다,14,11,R2,한 번 읽고 이상한 곳만 표시,6,5,38,31
eorinwangja,어린왕자 독후감,A2R3,A,책을 직접 읽고 쓴다,18,15,A2,읽다가 밑줄 친 문장이나 장면을 중심으로 쓴다,14,11,R3,출처 확인 + 크로스체크,14,11,46,37
eorinwangja,어린왕자 독후감,A3R1,A,책을 직접 읽고 쓴다,18,15,A3,이해되지 않는 부분을 붙들고 독후감을 쓴다,13,11,R1,그대로 제출,2,1,33,27
eorinwangja,어린왕자 독후감,A3R2,A,책을 직접 읽고 쓴다,18,15,A3,이해되지 않는 부분을 붙들고 독후감을 쓴다,13,11,R2,한 번 읽고 이상한 곳만 표시,6,5,37,31
eorinwangja,어린왕자 독후감,A3R3,A,책을 직접 읽고 쓴다,18,15,A3,이해되지 않는 부분을 붙들고 독후감을 쓴다,13,11,R3,출처 확인 + 크로스체크,14,11,45,37
eorinwangja,어린왕자 독후감,B1R1,B,AI에게 부탁한다,5,4,B1,줄거리 요약을 보고 중요한 장면만 책에서 찾아 읽는다,9,7,R1,그대로 제출,2,1,16,12
eorinwangja,어린왕자 독후감,B1R2,B,AI에게 부탁한다,5,4,B1,줄거리 요약을 보고 중요한 장면만 책에서 찾아 읽는다,9,7,R2,한 번 읽고 이상한 곳만 표시,6,5,20,16
eorinwangja,어린왕자 독후감,B1R3,B,AI에게 부탁한다,5,4,B1,줄거리 요약을 보고 중요한 장면만 책에서 찾아 읽는다,9,7,R3,출처 확인 + 크로스체크,14,11,28,22
eorinwangja,어린왕자 독후감,B2R1,B,AI에게 부탁한다,5,4,B2,유명한 문장이 나오는 앞뒤 장면을 읽고 쓴다,10,8,R1,그대로 제출,2,1,17,13
eorinwangja,어린왕자 독후감,B2R2,B,AI에게 부탁한다,5,4,B2,유명한 문장이 나오는 앞뒤 장면을 읽고 쓴다,10,8,R2,한 번 읽고 이상한 곳만 표시,6,5,21,17
eorinwangja,어린왕자 독후감,B2R3,B,AI에게 부탁한다,5,4,B2,유명한 문장이 나오는 앞뒤 장면을 읽고 쓴다,10,8,R3,출처 확인 + 크로스체크,14,11,29,23
eorinwangja,어린왕자 독후감,B3R1,B,AI에게 부탁한다,5,4,B3,친구나 영상이 소개한 장면 중 궁금한 부분만 찾아 읽는다,8,7,R1,그대로 제출,2,1,15,12
eorinwangja,어린왕자 독후감,B3R2,B,AI에게 부탁한다,5,4,B3,친구나 영상이 소개한 장면 중 궁금한 부분만 찾아 읽는다,8,7,R2,한 번 읽고 이상한 곳만 표시,6,5,19,16
eorinwangja,어린왕자 독후감,B3R3,B,AI에게 부탁한다,5,4,B3,친구나 영상이 소개한 장면 중 궁금한 부분만 찾아 읽는다,8,7,R3,출처 확인 + 크로스체크,14,11,27,22
eorinwangja,어린왕자 독후감,C1R1,C,책 읽기를 건너뛰고 독후감을 만들어본다,3,2,C1,AI에게 줄거리와 독후감 초안을 바로 부탁한다,2,2,R1,그대로 제출,2,1,7,5
eorinwangja,어린왕자 독후감,C1R2,C,책 읽기를 건너뛰고 독후감을 만들어본다,3,2,C1,AI에게 줄거리와 독후감 초안을 바로 부탁한다,2,2,R2,한 번 읽고 이상한 곳만 표시,6,5,11,9
eorinwangja,어린왕자 독후감,C1R3,C,책 읽기를 건너뛰고 독후감을 만들어본다,3,2,C1,AI에게 줄거리와 독후감 초안을 바로 부탁한다,2,2,R3,출처 확인 + 크로스체크,14,11,19,15
eorinwangja,어린왕자 독후감,C2R1,C,책 읽기를 건너뛰고 독후감을 만들어본다,3,2,C2,검색한 줄거리나 영상 소개만 보고 독후감을 쓴다,4,3,R1,그대로 제출,2,1,9,6
eorinwangja,어린왕자 독후감,C2R2,C,책 읽기를 건너뛰고 독후감을 만들어본다,3,2,C2,검색한 줄거리나 영상 소개만 보고 독후감을 쓴다,4,3,R2,한 번 읽고 이상한 곳만 표시,6,5,13,10
eorinwangja,어린왕자 독후감,C2R3,C,책 읽기를 건너뛰고 독후감을 만들어본다,3,2,C2,검색한 줄거리나 영상 소개만 보고 독후감을 쓴다,4,3,R3,출처 확인 + 크로스체크,14,11,21,16
eorinwangja,어린왕자 독후감,C3R1,C,책 읽기를 건너뛰고 독후감을 만들어본다,3,2,C3,유명한 문장이나 분위기만으로 독후감을 쓴다,3,3,R1,그대로 제출,2,1,8,6
eorinwangja,어린왕자 독후감,C3R2,C,책 읽기를 건너뛰고 독후감을 만들어본다,3,2,C3,유명한 문장이나 분위기만으로 독후감을 쓴다,3,3,R2,한 번 읽고 이상한 곳만 표시,6,5,12,10
eorinwangja,어린왕자 독후감,C3R3,C,책 읽기를 건너뛰고 독후감을 만들어본다,3,2,C3,유명한 문장이나 분위기만으로 독후감을 쓴다,3,3,R3,출처 확인 + 크로스체크,14,11,20,16
career,AI 시대에 내 진로는?,A1R1,A,내가 끌리는 것과 걱정하는 것부터 찾아본다,12,10,A1,내가 자주 보는 것과 좋아하는 것을 적어본다,10,8,R1,그대로 제출,2,1,24,19
career,AI 시대에 내 진로는?,A1R2,A,내가 끌리는 것과 걱정하는 것부터 찾아본다,12,10,A1,내가 자주 보는 것과 좋아하는 것을 적어본다,10,8,R2,한 번 읽고 이상한 곳만 표시,6,5,28,23
career,AI 시대에 내 진로는?,A1R3,A,내가 끌리는 것과 걱정하는 것부터 찾아본다,12,10,A1,내가 자주 보는 것과 좋아하는 것을 적어본다,10,8,R3,내 질문과 경험에 비춰 다시 확인,12,10,34,28
career,AI 시대에 내 진로는?,A2R1,A,내가 끌리는 것과 걱정하는 것부터 찾아본다,12,10,A2,AI 시대에 내가 걱정하는 말을 적어본다,10,8,R1,그대로 제출,2,1,24,19
career,AI 시대에 내 진로는?,A2R2,A,내가 끌리는 것과 걱정하는 것부터 찾아본다,12,10,A2,AI 시대에 내가 걱정하는 말을 적어본다,10,8,R2,한 번 읽고 이상한 곳만 표시,6,5,28,23
career,AI 시대에 내 진로는?,A2R3,A,내가 끌리는 것과 걱정하는 것부터 찾아본다,12,10,A2,AI 시대에 내가 걱정하는 말을 적어본다,10,8,R3,내 질문과 경험에 비춰 다시 확인,12,10,34,28
career,AI 시대에 내 진로는?,A3R1,A,내가 끌리는 것과 걱정하는 것부터 찾아본다,12,10,A3,관심을 작은 실험으로 바꿔본다,12,10,R1,그대로 제출,2,1,26,21
career,AI 시대에 내 진로는?,A3R2,A,내가 끌리는 것과 걱정하는 것부터 찾아본다,12,10,A3,관심을 작은 실험으로 바꿔본다,12,10,R2,한 번 읽고 이상한 곳만 표시,6,5,30,25
career,AI 시대에 내 진로는?,A3R3,A,내가 끌리는 것과 걱정하는 것부터 찾아본다,12,10,A3,관심을 작은 실험으로 바꿔본다,12,10,R3,내 질문과 경험에 비춰 다시 확인,12,10,36,30
career,AI 시대에 내 진로는?,B1R1,B,AI로 가능성을 넓혀본다,6,5,B1,AI에게 앞으로 유망한 일을 추천받는다,6,5,R1,그대로 제출,2,1,14,11
career,AI 시대에 내 진로는?,B1R2,B,AI로 가능성을 넓혀본다,6,5,B1,AI에게 앞으로 유망한 일을 추천받는다,6,5,R2,한 번 읽고 이상한 곳만 표시,6,5,18,15
career,AI 시대에 내 진로는?,B1R3,B,AI로 가능성을 넓혀본다,6,5,B1,AI에게 앞으로 유망한 일을 추천받는다,6,5,R3,내 질문과 경험에 비춰 다시 확인,12,10,24,20
career,AI 시대에 내 진로는?,B2R1,B,AI로 가능성을 넓혀본다,6,5,B2,AI에게 내 관심으로 만들 수 있는 새 일을 제안받는다,9,7,R1,그대로 제출,2,1,17,13
career,AI 시대에 내 진로는?,B2R2,B,AI로 가능성을 넓혀본다,6,5,B2,AI에게 내 관심으로 만들 수 있는 새 일을 제안받는다,9,7,R2,한 번 읽고 이상한 곳만 표시,6,5,21,17
career,AI 시대에 내 진로는?,B2R3,B,AI로 가능성을 넓혀본다,6,5,B2,AI에게 내 관심으로 만들 수 있는 새 일을 제안받는다,9,7,R3,내 질문과 경험에 비춰 다시 확인,12,10,27,22
career,AI 시대에 내 진로는?,B3R1,B,AI로 가능성을 넓혀본다,6,5,B3,AI로 작은 결과물을 만들어보고 진로를 생각한다,11,9,R1,그대로 제출,2,1,19,15
career,AI 시대에 내 진로는?,B3R2,B,AI로 가능성을 넓혀본다,6,5,B3,AI로 작은 결과물을 만들어보고 진로를 생각한다,11,9,R2,한 번 읽고 이상한 곳만 표시,6,5,23,19
career,AI 시대에 내 진로는?,B3R3,B,AI로 가능성을 넓혀본다,6,5,B3,AI로 작은 결과물을 만들어보고 진로를 생각한다,11,9,R3,내 질문과 경험에 비춰 다시 확인,12,10,29,24
career,AI 시대에 내 진로는?,C1R1,C,사람들이 말하는 안전한 길을 찾아본다,5,4,C1,유튜브나 뉴스에서 본 유망한 길을 찾아본다,7,5,R1,그대로 제출,2,1,14,10
career,AI 시대에 내 진로는?,C1R2,C,사람들이 말하는 안전한 길을 찾아본다,5,4,C1,유튜브나 뉴스에서 본 유망한 길을 찾아본다,7,5,R2,한 번 읽고 이상한 곳만 표시,6,5,18,14
career,AI 시대에 내 진로는?,C1R3,C,사람들이 말하는 안전한 길을 찾아본다,5,4,C1,유튜브나 뉴스에서 본 유망한 길을 찾아본다,7,5,R3,내 질문과 경험에 비춰 다시 확인,12,10,24,19
career,AI 시대에 내 진로는?,C2R1,C,사람들이 말하는 안전한 길을 찾아본다,5,4,C2,"부모님, 친구, 선생님이 좋다고 한 길을 따라본다",5,4,R1,그대로 제출,2,1,12,9
career,AI 시대에 내 진로는?,C2R2,C,사람들이 말하는 안전한 길을 찾아본다,5,4,C2,"부모님, 친구, 선생님이 좋다고 한 길을 따라본다",5,4,R2,한 번 읽고 이상한 곳만 표시,6,5,16,13
career,AI 시대에 내 진로는?,C2R3,C,사람들이 말하는 안전한 길을 찾아본다,5,4,C2,"부모님, 친구, 선생님이 좋다고 한 길을 따라본다",5,4,R3,내 질문과 경험에 비춰 다시 확인,12,10,22,18
career,AI 시대에 내 진로는?,C3R1,C,사람들이 말하는 안전한 길을 찾아본다,5,4,C3,"인기 학과나 자격증, 안정적인 길을 먼저 찾아본다",6,5,R1,그대로 제출,2,1,13,10
career,AI 시대에 내 진로는?,C3R2,C,사람들이 말하는 안전한 길을 찾아본다,5,4,C3,"인기 학과나 자격증, 안정적인 길을 먼저 찾아본다",6,5,R2,한 번 읽고 이상한 곳만 표시,6,5,17,14
career,AI 시대에 내 진로는?,C3R3,C,사람들이 말하는 안전한 길을 찾아본다,5,4,C3,"인기 학과나 자격증, 안정적인 길을 먼저 찾아본다",6,5,R3,내 질문과 경험에 비춰 다시 확인,12,10,23,19
studyplan,시험 2주 전 — 공부를 어떻게,A1R1,A,먼저 내 실력을 확인한다,12,10,A1,문제를 조금 풀어보고 약한 단원을 찾는다,12,10,R1,그대로 진행,2,1,26,21
studyplan,시험 2주 전 — 공부를 어떻게,A1R2,A,먼저 내 실력을 확인한다,12,10,A1,문제를 조금 풀어보고 약한 단원을 찾는다,12,10,R2,한 번 보고 빠진 과목만 표시,5,4,29,24
studyplan,시험 2주 전 — 공부를 어떻게,A1R3,A,먼저 내 실력을 확인한다,12,10,A1,문제를 조금 풀어보고 약한 단원을 찾는다,12,10,R3,오답 확인 + 약점 다시 배치,12,10,36,30
studyplan,시험 2주 전 — 공부를 어떻게,A2R1,A,먼저 내 실력을 확인한다,12,10,A2,시험 범위표를 보며 아는 단원과 모르는 단원을 나눈다,10,8,R1,그대로 진행,2,1,24,19
studyplan,시험 2주 전 — 공부를 어떻게,A2R2,A,먼저 내 실력을 확인한다,12,10,A2,시험 범위표를 보며 아는 단원과 모르는 단원을 나눈다,10,8,R2,한 번 보고 빠진 과목만 표시,5,4,27,22
studyplan,시험 2주 전 — 공부를 어떻게,A2R3,A,먼저 내 실력을 확인한다,12,10,A2,시험 범위표를 보며 아는 단원과 모르는 단원을 나눈다,10,8,R3,오답 확인 + 약점 다시 배치,12,10,34,28
studyplan,시험 2주 전 — 공부를 어떻게,A3R1,A,먼저 내 실력을 확인한다,12,10,A3,과목별 자신감과 실제 문제 풀이를 비교한다,11,9,R1,그대로 진행,2,1,25,20
studyplan,시험 2주 전 — 공부를 어떻게,A3R2,A,먼저 내 실력을 확인한다,12,10,A3,과목별 자신감과 실제 문제 풀이를 비교한다,11,9,R2,한 번 보고 빠진 과목만 표시,5,4,28,23
studyplan,시험 2주 전 — 공부를 어떻게,A3R3,A,먼저 내 실력을 확인한다,12,10,A3,과목별 자신감과 실제 문제 풀이를 비교한다,11,9,R3,오답 확인 + 약점 다시 배치,12,10,35,29
studyplan,시험 2주 전 — 공부를 어떻게,B1R1,B,AI로 시험공부를 도와보게 한다,5,4,B1,AI에게 2주 공부 계획표를 만들어 달라고 한다,5,4,R1,그대로 진행,2,1,12,9
studyplan,시험 2주 전 — 공부를 어떻게,B1R2,B,AI로 시험공부를 도와보게 한다,5,4,B1,AI에게 2주 공부 계획표를 만들어 달라고 한다,5,4,R2,한 번 보고 빠진 과목만 표시,5,4,15,12
studyplan,시험 2주 전 — 공부를 어떻게,B1R3,B,AI로 시험공부를 도와보게 한다,5,4,B1,AI에게 2주 공부 계획표를 만들어 달라고 한다,5,4,R3,오답 확인 + 약점 다시 배치,12,10,22,18
studyplan,시험 2주 전 — 공부를 어떻게,B2R1,B,AI로 시험공부를 도와보게 한다,5,4,B2,AI에게 내 약점을 말하고 공부 순서를 받는다,8,6,R1,그대로 진행,2,1,15,11
studyplan,시험 2주 전 — 공부를 어떻게,B2R2,B,AI로 시험공부를 도와보게 한다,5,4,B2,AI에게 내 약점을 말하고 공부 순서를 받는다,8,6,R2,한 번 보고 빠진 과목만 표시,5,4,18,14
studyplan,시험 2주 전 — 공부를 어떻게,B2R3,B,AI로 시험공부를 도와보게 한다,5,4,B2,AI에게 내 약점을 말하고 공부 순서를 받는다,8,6,R3,오답 확인 + 약점 다시 배치,12,10,25,20
studyplan,시험 2주 전 — 공부를 어떻게,B3R1,B,AI로 시험공부를 도와보게 한다,5,4,B3,AI에게 요약본이나 예상문제를 만들어 달라고 한다,8,7,R1,그대로 진행,2,1,15,12
studyplan,시험 2주 전 — 공부를 어떻게,B3R2,B,AI로 시험공부를 도와보게 한다,5,4,B3,AI에게 요약본이나 예상문제를 만들어 달라고 한다,8,7,R2,한 번 보고 빠진 과목만 표시,5,4,18,15
studyplan,시험 2주 전 — 공부를 어떻게,B3R3,B,AI로 시험공부를 도와보게 한다,5,4,B3,AI에게 요약본이나 예상문제를 만들어 달라고 한다,8,7,R3,오답 확인 + 약점 다시 배치,12,10,25,21
studyplan,시험 2주 전 — 공부를 어떻게,C1R1,C,공부에 도움 될 것 같은 다른 방법에서 시작한다,4,3,C1,친구나 학원 계획표를 따라 한다,5,4,R1,그대로 진행,2,1,11,8
studyplan,시험 2주 전 — 공부를 어떻게,C1R2,C,공부에 도움 될 것 같은 다른 방법에서 시작한다,4,3,C1,친구나 학원 계획표를 따라 한다,5,4,R2,한 번 보고 빠진 과목만 표시,5,4,14,11
