시나리오 타이틀,상황,시나리오 의도,시나리오 메시지,선택지,선택지 의도,선택지 메시지,선택지 시간비용,선택지 에너지비용,선택지 획득위임판단력,선택지 획득도메인지식,선택더자세히,더자세히 의도,더자세히 메시지,더자세히 시간 비용,더 자세히 에너지 비용,더자세히 획득위임판단력,더자세히 획득도메인지식,더 자세히 획득역량카드목록,더자세히 점수,R1 검토,R1 검토 의도,R1 검토 메시지,R1 시간비용,R1 에너지 비용,R1 획득위임판단력,R1 획득도메인지식,R1 획득 역량카드목록,R1 점수,R2 검토,R2 검토 의도,R2 검토 메시지,R2 시간비용,R2 에너지 비용,R2 획득위임판단력,R2 획득도메인지식,R2 획득 역량카드목록,R2 점수,R3 검토,R3 검토 의도,R3 검토 메시지,R3 시간비용,R3 에너지 비용,R3 획득위임판단력,R3 획득도메인지식,R3 획득 역량카드목록,R3 점수
모둠 발표 자료,"학기 초 모둠 발표가 다음 주로 잡혔다. 우리 모둠은 4명이 각자 파트를 맡았고, 내가 맡은 일은 자료 조사와 슬라이드 3장 만들기였다. 다른 애들이 어떤 흐름으로 준비하는지 아직 잘 모르는데, 숙제도 있고 학원도 있어서 시간이 많지는 않았다.",팀 작업에서 역할 분담과 AI 활용을 함께 굴리는 회기. 협업·소통·발표 자리.,혼자 빨리 끝낸 발표 자료는 모둠 안에서 아직 맞춰진 자료가 아니다.,A. 직접 조사해서 만든다,내 손으로 직접 했다 — 모둠 발표는 내가 이해해야 내 파트가 된다.,내가 자료를 찾고 모둠 발표에 맞게 슬라이드를 만든다.,30,25,+,+,A2. 직접 자료를 찾아 슬라이드를 만들고 한 장 제목·표현만 AI에 다듬어 달라 한다,자기 슬라이드에 AI 손이 점만 닿았다 — 자료와 흐름은 내 것이고 표현이 매끄러워졌다.,"자료는 직접 찾아 출처까지 적었고, 마지막에 한 장 제목과 어색한 한 문장만 AI에 다듬어 달라 했다. 슬라이드는 내 흐름 그대로였고 표현 두 군데가 매끄러워졌다.",12,11,,,R3=맥락 합의,70,R1. 그대로 제출,검토를 건너뛰었다 — 검증할 기회를 놓쳤다.,,0,0,+,+,다듬은 슬라이드 카드,70,R2. 한 번 읽고 이상한 곳만 표시,한 번 훑어 명백한 오류를 잡았다. 도메인지식 +1,한 번 읽어 보니 AI가 다듬은 한 표현이 내 발표 말투와 달랐다. 점수 +5.,5,4,+,+,AI 표현 검수 카드,75,R3. 출처 확인 + 모둠 흐름 맞추기,출처와 모둠 흐름을 다시 보니 빠진 것이 보였다. 도메인지식 +3,AI가 다듬은 자리와 내가 처음 쓴 자리를 비교해서 더 자연스러운 쪽을 골랐다. 점수 +11.,15,11,+,++,함께 다듬은 카드,81
모둠 발표 자료,"학기 초 모둠 발표가 다음 주로 잡혔다. 우리 모둠은 4명이 각자 파트를 맡았고, 내가 맡은 일은 자료 조사와 슬라이드 3장 만들기였다. 다른 애들이 어떤 흐름으로 준비하는지 아직 잘 모르는데, 숙제도 있고 학원도 있어서 시간이 많지는 않았다.",팀 작업에서 역할 분담과 AI 활용을 함께 굴리는 회기. 협업·소통·발표 자리.,혼자 빨리 끝낸 발표 자료는 모둠 안에서 아직 맞춰진 자료가 아니다.,A. 직접 조사해서 만든다,내 손으로 직접 했다 — 모둠 발표는 내가 이해해야 내 파트가 된다.,내가 자료를 찾고 모둠 발표에 맞게 슬라이드를 만든다.,30,25,+,+,A3. 자료를 살짝 보고 슬라이드를 만든다,얕게 보고 만들었다 — 슬라이드는 있지만 설명할 깊이가 없다.,검색해서 맨 위에 나온 글 몇 개를 보고 슬라이드를 만들었다. 제목과 그림은 들어갔지만 왜 이 자료를 골랐는지 설명하기가 애매했다.,0,0,,,R3=자료 출처 확인,49,R1. 그대로 제출,검토를 건너뛰었다 — 검증할 기회를 놓쳤다.,,0,0,0,+,얕은 자료 경고 카드,49,R2. 한 번 읽고 이상한 곳만 표시,한 번 훑어 명백한 오류를 잡았다. 도메인지식 +1,한 번 읽어 보니 설명 없이 사진만 들어간 장이 있었다. 점수 +9.,5,4,0,+,빈칸 발견 카드,58,R3. 출처 확인 + 모둠 흐름 맞추기,출처와 모둠 흐름을 다시 보니 빠진 것이 보였다. 도메인지식 +3,자료 출처를 다시 찾고 왜 이 예시를 골랐는지 한 문장을 넣었다. 점수 +17.,15,11,0,++,자료 출처 확인 카드,66
모둠 발표 자료,"학기 초 모둠 발표가 다음 주로 잡혔다. 우리 모둠은 4명이 각자 파트를 맡았고, 내가 맡은 일은 자료 조사와 슬라이드 3장 만들기였다. 다른 애들이 어떤 흐름으로 준비하는지 아직 잘 모르는데, 숙제도 있고 학원도 있어서 시간이 많지는 않았다.",팀 작업에서 역할 분담과 AI 활용을 함께 굴리는 회기. 협업·소통·발표 자리.,혼자 빨리 끝낸 발표 자료는 모둠 안에서 아직 맞춰진 자료가 아니다.,B. AI에게 맡긴다,AI에 위임했다 — 모둠 자료에 AI를 어디까지 쓸지 따져봐야 한다.,AI에게 슬라이드 초안이나 정리를 부탁한다.,18,9,-,-,B1. AI에게 주제만 주고 슬라이드 3장을 만들어 달라고 한다,AI에 다 맡겼다 — 출처 없는 자료가 내 발표가 된다.,"AI가 바로 슬라이드 3장짜리 내용을 만들어 줬다. 통계 숫자와 멋진 문장이 들어 있었지만 출처가 없고, 책에 없는 말이 인용문처럼 적혀 있었다.",0,0,,,R2=AI 슬라이드 검수,16,R1. 그대로 제출,검토를 건너뛰었다 — 검증할 기회를 놓쳤다.,,0,0,--,-,,16,R2. 한 번 읽고 이상한 곳만 표시,한 번 훑어 명백한 오류를 잡았다. 도메인지식 +1,한 번 읽어 보니 출처 없는 통계 숫자가 있었다. 점수 +13.,5,4,--,0,AI 슬라이드 경고 카드,29,R3. 출처 확인 + 모둠 흐름 맞추기,출처와 모둠 흐름을 다시 보니 빠진 것이 보였다. 도메인지식 +3,"통계와 인용을 다시 찾아 보고, 모둠 주제와 안 맞는 문장을 지웠다. 점수 +23.",15,11,--,+,맥락 빠진 발표,39
모둠 발표 자료,"학기 초 모둠 발표가 다음 주로 잡혔다. 우리 모둠은 4명이 각자 파트를 맡았고, 내가 맡은 일은 자료 조사와 슬라이드 3장 만들기였다. 다른 애들이 어떤 흐름으로 준비하는지 아직 잘 모르는데, 숙제도 있고 학원도 있어서 시간이 많지는 않았다.",팀 작업에서 역할 분담과 AI 활용을 함께 굴리는 회기. 협업·소통·발표 자리.,혼자 빨리 끝낸 발표 자료는 모둠 안에서 아직 맞춰진 자료가 아니다.,B. AI에게 맡긴다,AI에 위임했다 — 모둠 자료에 AI를 어디까지 쓸지 따져봐야 한다.,AI에게 슬라이드 초안이나 정리를 부탁한다.,18,9,-,-,B2. 내가 찾은 자료를 AI에게 주고 슬라이드 문장을 받아 다듬는다,재료는 줬지만 정리까지 맡겼다 — 모둠 흐름이 빠진 자료가 나온다.,내가 찾은 자료를 AI에게 넣고 슬라이드 문장을 받았다. 내용은 크게 틀리지 않았지만 모둠 친구들이 쓰는 말투와 발표 흐름과는 조금 달랐다.,9,9,,,R3=맥락 합의,58,R1. 그대로 제출,검토를 건너뛰었다 — 검증할 기회를 놓쳤다.,,0,0,0,0,AI 정리 자료,58,R2. 한 번 읽고 이상한 곳만 표시,한 번 훑어 명백한 오류를 잡았다. 도메인지식 +1,한 번 읽어 보니 AI 문장이 발표 말투와 너무 달랐다. 점수 +8.,5,4,0,+,말투 수정 카드,66,R3. 출처 확인 + 모둠 흐름 맞추기,출처와 모둠 흐름을 다시 보니 빠진 것이 보였다. 도메인지식 +3,자료 출처를 다시 붙이고 친구 파트와 이어지는 순서로 바꿨다. 점수 +15.,15,11,0,+,AI 슬라이드 검수 카드,73
모둠 발표 자료,"학기 초 모둠 발표가 다음 주로 잡혔다. 우리 모둠은 4명이 각자 파트를 맡았고, 내가 맡은 일은 자료 조사와 슬라이드 3장 만들기였다. 다른 애들이 어떤 흐름으로 준비하는지 아직 잘 모르는데, 숙제도 있고 학원도 있어서 시간이 많지는 않았다.",팀 작업에서 역할 분담과 AI 활용을 함께 굴리는 회기. 협업·소통·발표 자리.,혼자 빨리 끝낸 발표 자료는 모둠 안에서 아직 맞춰진 자료가 아니다.,B. AI에게 맡긴다,AI에 위임했다 — 모둠 자료에 AI를 어디까지 쓸지 따져봐야 한다.,AI에게 슬라이드 초안이나 정리를 부탁한다.,18,9,-,-,B3. 내가 조사하고 출처를 적은 뒤 AI에게 정리만 부탁하고 끝까지 검수한다,자료와 출처는 내가 잡고 AI는 정리만 도왔다 — 자기 조사 위에 적절한 결합이 얹혔다.,"자료를 직접 찾아 출처를 정리한 뒤, AI에게 슬라이드 문장을 짧게 정리해 달라고 했다. 받아 본 문장은 출처와 흐름을 다시 확인하고, 모둠 채팅방에 공유해서 친구 파트와 이어지게 맞췄다.",15,18,,,R3=자료 출처 확인,88,R1. 그대로 제출,검토를 건너뛰었다 — 검증할 기회를 놓쳤다.,,0,0,++,++,자기 조사 + AI 정리 카드,88,R2. 한 번 읽고 이상한 곳만 표시,한 번 훑어 명백한 오류를 잡았다. 도메인지식 +1,한 번 읽어 보니 AI가 줄인 문장 하나에서 중요한 조건이 빠져 있었다. 점수 +5.,5,4,++,++,AI 슬라이드 검수 카드,93,R3. 출처 확인 + 모둠 흐름 맞추기,출처와 모둠 흐름을 다시 보니 빠진 것이 보였다. 도메인지식 +3,"출처와 숫자, 발표 흐름을 다시 확인하고 모둠 채팅방에 공유해 친구 파트와 이어지게 맞췄다. 점수 +12.",15,11,++,++,모둠 공유 검수 카드,100
모둠 발표 자료,"학기 초 모둠 발표가 다음 주로 잡혔다. 우리 모둠은 4명이 각자 파트를 맡았고, 내가 맡은 일은 자료 조사와 슬라이드 3장 만들기였다. 다른 애들이 어떤 흐름으로 준비하는지 아직 잘 모르는데, 숙제도 있고 학원도 있어서 시간이 많지는 않았다.",팀 작업에서 역할 분담과 AI 활용을 함께 굴리는 회기. 협업·소통·발표 자리.,혼자 빨리 끝낸 발표 자료는 모둠 안에서 아직 맞춰진 자료가 아니다.,C. 다른 모둠·기성 자료에 기댄다,"다른 데서 가져왔다 — 적절히 골라 쓸 수도, 내 파트를 비울 수도 있다.",모둠원·작년 발표·다른 학년 자료에 기대서 풀어간다.,12,9,0,0,C1. 다른 학년의 같은 단원 발표 자료에서 흐름을 빌려 보고 우리 모둠 주제로 직접 다시 채운다,기성 자료를 거름으로 삼아 우리 주제로 다시 채웠다 — 빌리되 내 자리는 내가 채웠다.,"다른 학년이 같은 단원으로 발표했던 자료를 찾아 흐름과 순서를 살펴봤다. 어떤 흐름이 잘 풀렸는지 추려서, 우리 모둠 주제에 맞는 자료와 예시로 한 장씩 다시 채우고 출처를 적었다. 모둠 채팅방에 흐름을 공유해 친구 파트와 이어지는 자리를 맞췄다.",9,6,,,,88,R1. 그대로 제출,검토를 건너뛰었다 — 검증할 기회를 놓쳤다.,,0,0,++,++,기성 자료 활용 카드,88,R2. 한 번 읽고 이상한 곳만 표시,한 번 훑어 명백한 오류를 잡았다. 도메인지식 +1,한 번 읽어 보니 빌려 온 흐름 한 장에 다른 학년 예시가 그대로 남아 있었다. 점수 +5.,5,4,++,++,기성 자료 검수 카드,93,R3. 출처 확인 + 모둠 흐름 맞추기,출처와 모둠 흐름을 다시 보니 빠진 것이 보였다. 도메인지식 +3,빌린 흐름을 다시 보면서 우리 모둠 주제에 맞는 새 예시를 한 장 더 넣고 친구 파트와 이어지는 순서로 맞췄다. 점수 +12.,15,11,++,++,우리 주제 채우기 카드,100
모둠 발표 자료,"학기 초 모둠 발표가 다음 주로 잡혔다. 우리 모둠은 4명이 각자 파트를 맡았고, 내가 맡은 일은 자료 조사와 슬라이드 3장 만들기였다. 다른 애들이 어떤 흐름으로 준비하는지 아직 잘 모르는데, 숙제도 있고 학원도 있어서 시간이 많지는 않았다.",팀 작업에서 역할 분담과 AI 활용을 함께 굴리는 회기. 협업·소통·발표 자리.,혼자 빨리 끝낸 발표 자료는 모둠 안에서 아직 맞춰진 자료가 아니다.,C. 다른 모둠·기성 자료에 기댄다,"다른 데서 가져왔다 — 적절히 골라 쓸 수도, 내 파트를 비울 수도 있다.",모둠원·작년 발표·다른 학년 자료에 기대서 풀어간다.,12,9,0,0,C2. 다른 모둠 작년 발표 슬라이드를 그대로 가져와 제목만 바꿔 낸다,다른 모둠 슬라이드가 내 자리에 들어왔다 — 다른 모둠의 자료는 내 것이 아니다.,다른 모둠이 작년에 만든 발표 슬라이드를 그대로 가져와 제목만 우리 주제로 바꿔 냈다. 그 모둠이 들었던 예시와 흐름이 내 자리에 그대로 남아 있었다.,12,8,,,,22,R1. 그대로 제출,검토를 건너뛰었다 — 검증할 기회를 놓쳤다.,,0,0,--,-,다른 모둠 슬라이드 카드,22,R2. 한 번 읽고 이상한 곳만 표시,한 번 훑어 명백한 오류를 잡았다. 도메인지식 +1,한 번 읽어 보니 다른 모둠이 들었던 예시가 그대로 있었다. 점수 +10.,5,3,--,0,낡은 예시 경고 카드,32,R3. 출처 확인 + 모둠 흐름 맞추기,출처와 모둠 흐름을 다시 보니 빠진 것이 보였다. 도메인지식 +3,베껴 온 슬라이드를 거의 다 지우고 우리 모둠 주제에 맞게 다시 채웠다. 점수 +20.,15,11,--,+,내 자리 회수 카드,42
모둠 발표 자료,"학기 초 모둠 발표가 다음 주로 잡혔다. 우리 모둠은 4명이 각자 파트를 맡았고, 내가 맡은 일은 자료 조사와 슬라이드 3장 만들기였다. 다른 애들이 어떤 흐름으로 준비하는지 아직 잘 모르는데, 숙제도 있고 학원도 있어서 시간이 많지는 않았다.",팀 작업에서 역할 분담과 AI 활용을 함께 굴리는 회기. 협업·소통·발표 자리.,혼자 빨리 끝낸 발표 자료는 모둠 안에서 아직 맞춰진 자료가 아니다.,C. 다른 모둠·기성 자료에 기댄다,"다른 데서 가져왔다 — 적절히 골라 쓸 수도, 내 파트를 비울 수도 있다.",모둠원·작년 발표·다른 학년 자료에 기대서 풀어간다.,12,9,0,0,C3. 모둠원에게 내 파트까지 좀 해 달라고 부탁한다,내 파트를 떠넘겼다 — 발표 당일 내가 답할 수 없게 된다.,모둠원에게 내 파트까지 좀 해 달라고 보냈다. 친구가 몇 줄을 도와주긴 했지만 발표 연습 때 내가 내 슬라이드를 잘 설명하지 못했다.,0,0,,,,11,R1. 그대로 제출,검토를 건너뛰었다 — 검증할 기회를 놓쳤다.,,0,0,--,-,,11,R2. 한 번 읽고 이상한 곳만 표시,한 번 훑어 명백한 오류를 잡았다. 도메인지식 +1,한 번 읽어 보니 내가 설명할 수 없는 문장이 많았다. 점수 +11.,5,4,--,0,,22,R3. 출처 확인 + 모둠 흐름 맞추기,출처와 모둠 흐름을 다시 보니 빠진 것이 보였다. 도메인지식 +3,친구가 써 준 부분을 다시 읽고 내가 말할 수 있는 문장으로 고쳤다. 점수 +20.,15,11,--,+,떠넘긴 발표 경고 카드,31
어린왕자 독후감,어린왕자 독후감을 100자로 써야 하는데 책을 안 읽었습니다.,고전 텍스트 해석을 AI 요약과 자기 시선 사이에서 다루는 회기. 문해력·해석·공감 자리.,"경험은 위임 불가. 본인이 안 한 일은 AI도, 인터넷도, 친구도 대신해 줄 수 없다.",A. 책을 직접 읽고 쓴다,내가 읽었다 — 책 안에서 내 감상이 나온다.,어린왕자 책을 펴서 내가 읽고 그 감상으로 쓴다.,30,24,+,+,A1. 책을 끝까지 읽고 인상에 남은 장면으로 본인 감상을 쓴다,끝까지 읽고 한 장면에 머물렀다 — 책이 내 안에 자리 잡는다.,"어린왕자가 여우에게 ""네가 길들인 것에 너는 영원히 책임이 있다""는 말을 듣는 장면이 가장 오래 남았다. 나도 키우는 강아지가 떠올라서 그 한 문장에서 한참 멈췄다.",24,24,,,,92,R1. 그대로 제출,검토를 건너뛰었다 — 검증할 기회를 놓쳤다.,,0,0,++,++,깊은 독서가 카드,92,R2. 한 번 읽고 이상한 곳만 표시,한 번 훑어 명백한 오류를 잡았다. 도메인지식 +1,한 번 읽어 보니 문장 하나가 길어서 둘로 나눴다. 점수 +3.,3,3,++,++,깊은 독서가 카드,95,R3. 출처 확인 + 크로스체크,출처와 대조하니 미세 오류까지 보였다. 도메인지식 +3,처음부터 다시 읽고 여우 장면이 왜 나에게 남았는지 한 문장 더 넣었다. 점수 +6.,6,6,++,++,머무른 독서가 카드,98
어린왕자 독후감,어린왕자 독후감을 100자로 써야 하는데 책을 안 읽었습니다.,고전 텍스트 해석을 AI 요약과 자기 시선 사이에서 다루는 회기. 문해력·해석·공감 자리.,"경험은 위임 불가. 본인이 안 한 일은 AI도, 인터넷도, 친구도 대신해 줄 수 없다.",A. 책을 직접 읽고 쓴다,내가 읽었다 — 책 안에서 내 감상이 나온다.,어린왕자 책을 펴서 내가 읽고 그 감상으로 쓴다.,30,24,+,+,A2. 책을 읽고 본인 감상을 쓰다가 한두 표현만 AI에 다듬어 달라 한다,자기 감상에 AI 손이 점만 닿았다 — 내용은 내 것이고 표현이 매끄러워졌다.,"책을 다 읽고 여우 장면 감상을 직접 썼는데, 한 문장이 어색해서 AI에 다듬어 달라 했다. 내 감상은 그대로 남고 한 표현만 매끄러워졌다.",12,12,,,,70,R1. 그대로 제출,검토를 건너뛰었다 — 검증할 기회를 놓쳤다.,,0,0,+,+,다듬은 감상 카드,70,R2. 한 번 읽고 이상한 곳만 표시,한 번 훑어 명백한 오류를 잡았다. 도메인지식 +1,한 번 읽어 보니 AI가 다듬은 한 표현이 내 말투와 달랐다. 점수 +5.,3,3,+,+,다듬은 감상 카드,75,R3. 출처 확인 + 크로스체크,출처와 대조하니 미세 오류까지 보였다. 도메인지식 +3,AI가 다듬은 자리와 내가 처음 쓴 자리를 비교해서 더 자연스러운 쪽을 골랐다. 점수 +11.,6,6,+,++,함께 다듬은 카드,81
어린왕자 독후감,어린왕자 독후감을 100자로 써야 하는데 책을 안 읽었습니다.,고전 텍스트 해석을 AI 요약과 자기 시선 사이에서 다루는 회기. 문해력·해석·공감 자리.,"경험은 위임 불가. 본인이 안 한 일은 AI도, 인터넷도, 친구도 대신해 줄 수 없다.",A. 책을 직접 읽고 쓴다,내가 읽었다 — 책 안에서 내 감상이 나온다.,어린왕자 책을 펴서 내가 읽고 그 감상으로 쓴다.,30,24,+,+,A3. 책을 펴서 처음 몇 쪽만 읽고 떠오르는 대로 쓴다,책 일부만 통과해 감상을 끌어냈다 — 자기 안에서 나왔지만 책이 얕게 들어왔다.,"첫 챕터에서 코끼리 삼킨 보아뱀 그림 얘기가 나왔다. 어른들은 모자로만 본다는 부분이 재미있었고, 나머지는 잘 모르겠지만 어른과 아이의 차이가 중요한 것 같다.",0,0,,,,55,R1. 그대로 제출,검토를 건너뛰었다 — 검증할 기회를 놓쳤다.,,0,0,0,+,반쪽 독후감 카드,55,R2. 한 번 읽고 이상한 곳만 표시,한 번 훑어 명백한 오류를 잡았다. 도메인지식 +1,"한 번 읽어 보니 ""잘 모르겠지만""이라는 표현이 두 번 나왔다. 점수 +8.",3,3,0,+,반쪽 독후감 카드,63,R3. 출처 확인 + 크로스체크,출처와 대조하니 미세 오류까지 보였다. 도메인지식 +3,안 읽은 부분 추측을 빼고 읽은 부분 감상만 남겼다. 점수 +15.,6,6,0,++,솔직한 감상 카드,70
어린왕자 독후감,어린왕자 독후감을 100자로 써야 하는데 책을 안 읽었습니다.,고전 텍스트 해석을 AI 요약과 자기 시선 사이에서 다루는 회기. 문해력·해석·공감 자리.,"경험은 위임 불가. 본인이 안 한 일은 AI도, 인터넷도, 친구도 대신해 줄 수 없다.",B. AI에게 부탁한다,AI에 위임했다 — 안 읽은 책을 AI가 대신 읽어 줄 수는 없다.,AI에게 책 내용과 감상을 받아 본다.,9,3,-,-,B1. AI에게 책 제목만 주고 독후감을 통째로 받아 낸다,AI에 다 맡겼다 — 안 읽은 책을 AI가 환각으로 새로 쓴다.,"어린왕자는 사막에서 여우와 캥거루를 만나 모험을 한다. 그는 장미를 구하기 위해 여러 행성을 돌며 용기를 배우고, 마지막에는 친구들과 왕국을 세운다.",9,6,,,R2=AI 환각 식별 / R3=검증 방법,14,R1. 그대로 제출,검토를 건너뛰었다 — 검증할 기회를 놓쳤다.,,0,0,--,-,,14,R2. 한 번 읽고 이상한 곳만 표시,한 번 훑어 명백한 오류를 잡았다. 도메인지식 +1,한 번 읽어 보니 책에 없는 캥거루와 왕국 설정이 보였다. 점수 +12.,6,6,--,0,환각 발견 카드,26,R3. 출처 확인 + 크로스체크,출처와 대조하니 미세 오류까지 보였다. 도메인지식 +3,환각뿐 아니라 전체 줄거리 구조가 책과 어긋남을 확인했다. 점수 +23.,15,18,--,+,위태로운 위임 카드,37
어린왕자 독후감,어린왕자 독후감을 100자로 써야 하는데 책을 안 읽었습니다.,고전 텍스트 해석을 AI 요약과 자기 시선 사이에서 다루는 회기. 문해력·해석·공감 자리.,"경험은 위임 불가. 본인이 안 한 일은 AI도, 인터넷도, 친구도 대신해 줄 수 없다.",B. AI에게 부탁한다,AI에 위임했다 — 안 읽은 책을 AI가 대신 읽어 줄 수는 없다.,AI에게 책 내용과 감상을 받아 본다.,9,3,-,-,B2. AI에게 책 줄거리와 인용을 받아 본인이 정리해 쓴다,재료는 받았지만 책은 통과하지 않았다 — 인용이 내 것이 아니라 검증이 필요하다.,"어린왕자는 여러 별을 지나 지구에 와서 여우를 만난다. AI가 알려준 ""가장 중요한 것은 마음으로 본다""는 말처럼 관계와 책임이 핵심이라고 생각했다.",6,3,,,R3=AI 한계,50,R1. 그대로 제출,검토를 건너뛰었다 — 검증할 기회를 놓쳤다.,,0,0,0,0,검증되지 않은 인용 카드,50,R2. 한 번 읽고 이상한 곳만 표시,한 번 훑어 명백한 오류를 잡았다. 도메인지식 +1,한 번 읽어 보니 AI가 준 인용이 책 어디에서 나온 건지 알 수 없었다. 점수 +9.,6,6,0,+,인용 점검 카드,59,R3. 출처 확인 + 크로스체크,출처와 대조하니 미세 오류까지 보였다. 도메인지식 +3,책 원전과 대조하니 인용 문장이 다듬어진 표현이라 직접 인용을 다시 찾았다. 점수 +18.,15,18,0,++,검증의 눈 카드,68
어린왕자 독후감,어린왕자 독후감을 100자로 써야 하는데 책을 안 읽었습니다.,고전 텍스트 해석을 AI 요약과 자기 시선 사이에서 다루는 회기. 문해력·해석·공감 자리.,"경험은 위임 불가. 본인이 안 한 일은 AI도, 인터넷도, 친구도 대신해 줄 수 없다.",B. AI에게 부탁한다,AI에 위임했다 — 안 읽은 책을 AI가 대신 읽어 줄 수는 없다.,AI에게 책 내용과 감상을 받아 본다.,9,3,-,-,B3. 본인이 먼저 감상을 끝까지 써 보고 AI에게 표현만 다듬어 달라 한다,"감상은 내가 끝까지 통과했고 AI는 표현만 다듬었다 — 내 책, 내 말.","여우가 어린왕자에게 길들임을 가르치는 장면이 좋다고 끝까지 내가 먼저 썼다. AI에게 어색한 표현만 다듬어 달라 했고, 다듬은 문장과 처음 문장을 비교해 내 말 같은 쪽을 골라 남겼다.",0,0,,,,88,R1. 그대로 제출,검토를 건너뛰었다 — 검증할 기회를 놓쳤다.,,0,0,++,++,자기 주도 + 다듬기 카드,88,R2. 한 번 읽고 이상한 곳만 표시,한 번 훑어 명백한 오류를 잡았다. 도메인지식 +1,한 번 읽어 보니 AI가 바꾼 표현 하나가 내 감상 같지 않아서 처음 쓴 문장으로 되돌렸다. 점수 +5.,6,6,++,++,검수한 다듬기 카드,93,R3. 출처 확인 + 크로스체크,출처와 대조하니 미세 오류까지 보였다. 도메인지식 +3,처음 쓴 문장과 AI가 다듬은 문장을 한 줄씩 비교해서 더 내 말 같은 쪽을 골랐다. 점수 +12.,15,18,++,++,머무른 감상 + 다듬기 카드,100
어린왕자 독후감,어린왕자 독후감을 100자로 써야 하는데 책을 안 읽었습니다.,고전 텍스트 해석을 AI 요약과 자기 시선 사이에서 다루는 회기. 문해력·해석·공감 자리.,"경험은 위임 불가. 본인이 안 한 일은 AI도, 인터넷도, 친구도 대신해 줄 수 없다.",C. 다른 자료·사람에게 기댄다,"다른 데서 가져왔다 — 적절히 골라 쓸 수도, 책 자리를 비울 수도 있다.","전에 본 영화나 친구 줄거리, 흔한 인상에 기대 풀어간다.",6,3,0,0,C1. 전에 본 어린왕자 영화·애니메이션 기억을 끝까지 끌어내어 본인 감상으로 다시 쓰고 책 자리와 분리해 표시한다,"다른 매체로 통과한 어린왕자를 자기 감상으로 다시 썼고, 책 자리와 매체 자리를 분리했다 — 자기 자료를 적극적으로, 정직하게 가져왔다.","어렸을 때 본 어린왕자 애니메이션이 떠올랐다. 여우가 길들임을 말하는 장면이 그때도 인상 깊었는데, 지금 다시 생각하니 시간을 들인 관계가 특별해진다는 말로 들렸다. 책은 안 읽었으니 책 장면은 적지 않고 애니메이션에서 내가 통과한 부분만 자기 감상으로 다시 정리했다.",18,15,,,,88,R1. 그대로 제출,검토를 건너뛰었다 — 검증할 기회를 놓쳤다.,,0,0,++,++,자기 매체 통과 카드,88,R2. 한 번 읽고 이상한 곳만 표시,한 번 훑어 명백한 오류를 잡았다. 도메인지식 +1,한 번 읽어 보니 애니메이션 장면을 책 장면처럼 적은 부분이 한 줄 있어 매체 출처를 명시했다. 점수 +5.,6,6,++,++,매체 분리 카드,93,R3. 출처 확인 + 크로스체크,출처와 대조하니 미세 오류까지 보였다. 도메인지식 +3,다른 매체에서 본 부분과 내 지금 감상을 한 단락씩 분리해서 다시 정리했다. 점수 +12.,15,15,++,++,매체 비교 + 자기 감상 카드,100
어린왕자 독후감,어린왕자 독후감을 100자로 써야 하는데 책을 안 읽었습니다.,고전 텍스트 해석을 AI 요약과 자기 시선 사이에서 다루는 회기. 문해력·해석·공감 자리.,"경험은 위임 불가. 본인이 안 한 일은 AI도, 인터넷도, 친구도 대신해 줄 수 없다.",C. 다른 자료·사람에게 기댄다,"다른 데서 가져왔다 — 적절히 골라 쓸 수도, 책 자리를 비울 수도 있다.","전에 본 영화나 친구 줄거리, 흔한 인상에 기대 풀어간다.",6,3,0,0,C2. 책을 읽은 친구에게 줄거리를 듣고 그대로 옮겨 쓴다,친구가 읽은 책이 내 자리에 들어왔다 — 친구의 책은 내 것이 아니다.,친구가 어린왕자는 별에서 장미를 두고 와 후회하는 이야기라고 했다. 마지막에 별로 돌아간다고 들어서 이 책은 이별에 관한 이야기 같다.,9,6,,,,28,R1. 그대로 제출,검토를 건너뛰었다 — 검증할 기회를 놓쳤다.,,0,0,--,-,친구 그림자 카드,28,R2. 한 번 읽고 이상한 곳만 표시,한 번 훑어 명백한 오류를 잡았다. 도메인지식 +1,"한 번 읽어 보니 친구의 해석(""이별에 관한 이야기"")이 내 결론처럼 들어가 있었다. 점수 +10.",6,6,--,0,친구 그림자 경고 카드,38,R3. 출처 확인 + 크로스체크,출처와 대조하니 미세 오류까지 보였다. 도메인지식 +3,친구가 들려준 부분을 줄이고 모르는 부분은 모른다고 적었다. 점수 +20.,15,15,--,+,내 자리 회수 카드,48
