시나리오,경로,1차 선택,1차 위임,1차 시간비용,1차 에너지비용,1차 점수,1차 역량카드,1차 능력카드,2차 선택,2차 위임(보정),2차 시간비용,2차 에너지비용,2차 점수,2차 역량카드,2차 능력카드,검토 선택,검토 깊이,검토 시간비용,검토 에너지비용,검토 점수,검토 역량카드,검토 능력카드,최종점수(verdict),등급,단계점수합,시간비용합,에너지비용합
자기소개글,B1R2,AI에게 시작을 도움받는다,부분 위임,0(면제),0(면제),10,,,AI 질문에 떠오르는 만큼 답하고 글을 만든다,부분 위임→직접쪽,6,5,10,,,어색한 문장과 내 말투가 아닌 표현만 고친다,R2 표면검토,5,4,18,,검토력,45,D,38,11,9
자기소개글,B1R3,AI에게 시작을 도움받는다,부분 위임,0(면제),0(면제),10,,,AI 질문에 떠오르는 만큼 답하고 글을 만든다,부분 위임→직접쪽,6,5,10,,,친구가 물어봐도 내가 설명할 수 있는 내용인지 다시 본다,R3 깊은검토,10,8,30,,검토력,60,C,50,16,13
자기소개글,B2R1,AI에게 시작을 도움받는다,부분 위임,0(면제),0(면제),10,,,AI에게 글의 순서를 받고 내 이야기에 맞게 바꾼다,부분 위임,8,6,15,,,바로 반 게시판 글로 넘긴다,R1 무검토,2,1,10,,,62,C,35,10,7
자기소개글,B2R2,AI에게 시작을 도움받는다,부분 위임,0(면제),0(면제),10,,,AI에게 글의 순서를 받고 내 이야기에 맞게 바꾼다,부분 위임,8,6,15,,,어색한 문장과 내 말투가 아닌 표현만 고친다,R2 표면검토,5,4,18,,검토력,72,C,43,13,10
자기소개글,B2R3,AI에게 시작을 도움받는다,부분 위임,0(면제),0(면제),10,,,AI에게 글의 순서를 받고 내 이야기에 맞게 바꾼다,부분 위임,8,6,15,,,친구가 물어봐도 내가 설명할 수 있는 내용인지 다시 본다,R3 깊은검토,10,8,30,,검토력,84,B,55,18,14
자기소개글,B3R1,AI에게 시작을 도움받는다,부분 위임,0(면제),0(면제),10,,,AI 초안을 받고 좋아 보이는 문장과 내 메모를 섞어 글을 만든다,부분 위임→위임쪽,10,8,35,통합적 사고,검토력,바로 반 게시판 글로 넘긴다,R1 무검토,2,1,10,,,78,B,55,12,9
자기소개글,B3R2,AI에게 시작을 도움받는다,부분 위임,0(면제),0(면제),10,,,AI 초안을 받고 좋아 보이는 문장과 내 메모를 섞어 글을 만든다,부분 위임→위임쪽,10,8,35,통합적 사고,검토력,어색한 문장과 내 말투가 아닌 표현만 고친다,R2 표면검토,5,4,18,,,86,A,63,15,12
자기소개글,B3R3,AI에게 시작을 도움받는다,부분 위임,0(면제),0(면제),10,,,AI 초안을 받고 좋아 보이는 문장과 내 메모를 섞어 글을 만든다,부분 위임→위임쪽,10,8,35,통합적 사고,검토력,친구가 물어봐도 내가 설명할 수 있는 내용인지 다시 본다,R3 깊은검토,10,8,30,,,95,S,75,20,16
자기소개글,C1R1,AI에게 자기소개를 맡겨본다,전체 위임,0(면제),0(면제),18,,,아무 정보 없이 AI에게 바로 써달라고 한다,전체 위임→위임쪽,3,2,0,,,바로 반 게시판 글로 넘긴다,R1 무검토,2,1,10,,,18,D,28,5,3
자기소개글,C1R2,AI에게 자기소개를 맡겨본다,전체 위임,0(면제),0(면제),18,,,아무 정보 없이 AI에게 바로 써달라고 한다,전체 위임→위임쪽,3,2,0,,,어색한 문장과 내 말투가 아닌 표현만 고친다,R2 표면검토,5,4,18,,검토력,32,D,36,8,6
자기소개글,C1R3,AI에게 자기소개를 맡겨본다,전체 위임,0(면제),0(면제),18,,,아무 정보 없이 AI에게 바로 써달라고 한다,전체 위임→위임쪽,3,2,0,,,친구가 물어봐도 내가 설명할 수 있는 내용인지 다시 본다,R3 깊은검토,10,8,30,,검토력,45,D,48,13,10
자기소개글,C2R1,AI에게 자기소개를 맡겨본다,전체 위임,0(면제),0(면제),18,,,내 정보 몇 가지만 넣어 AI에게 써달라고 한다,전체 위임,5,4,15,,,바로 반 게시판 글로 넘긴다,R1 무검토,2,1,10,,,42,D,43,7,5
자기소개글,C2R2,AI에게 자기소개를 맡겨본다,전체 위임,0(면제),0(면제),18,,,내 정보 몇 가지만 넣어 AI에게 써달라고 한다,전체 위임,5,4,15,,,어색한 문장과 내 말투가 아닌 표현만 고친다,R2 표면검토,5,4,18,,검토력,60,C,51,10,8
자기소개글,C2R3,AI에게 자기소개를 맡겨본다,전체 위임,0(면제),0(면제),18,,,내 정보 몇 가지만 넣어 AI에게 써달라고 한다,전체 위임,5,4,15,,,친구가 물어봐도 내가 설명할 수 있는 내용인지 다시 본다,R3 깊은검토,10,8,30,,검토력,72,C,63,15,12
자기소개글,C3R1,AI에게 자기소개를 맡겨본다,전체 위임,0(면제),0(면제),18,,,AI 글을 받은 뒤 내 글로 다시 쓴다,전체 위임→직접쪽,11,9,25,,검토력,바로 반 게시판 글로 넘긴다,R1 무검토,2,1,10,,,66,C,53,13,10
자기소개글,C3R2,AI에게 자기소개를 맡겨본다,전체 위임,0(면제),0(면제),18,,,AI 글을 받은 뒤 내 글로 다시 쓴다,전체 위임→직접쪽,11,9,25,,검토력,어색한 문장과 내 말투가 아닌 표현만 고친다,R2 표면검토,5,4,18,,,80,B,61,16,13
자기소개글,C3R3,AI에게 자기소개를 맡겨본다,전체 위임,0(면제),0(면제),18,,,AI 글을 받은 뒤 내 글로 다시 쓴다,전체 위임→직접쪽,11,9,25,,검토력,친구가 물어봐도 내가 설명할 수 있는 내용인지 다시 본다,R3 깊은검토,10,8,30,,,90,A,73,21,17
모둠발표자료,A1R1,모둠과 먼저 방향을 정한다,내가 직접,0(면제),0(면제),25,적응성,,모둠원들과 발표 질문을 먼저 정한다,내가 직접,16,14,35,사회·관계적 사고,협업력,만든 자료를 바로 모둠에 공유한다,R1 무검토,2,1,10,,,86,A,70,18,15
모둠발표자료,A1R2,모둠과 먼저 방향을 정한다,내가 직접,0(면제),0(면제),25,적응성,,모둠원들과 발표 질문을 먼저 정한다,내가 직접,16,14,35,사회·관계적 사고,협업력,빠진 출처와 어색한 슬라이드만 확인한다,R2 표면검토,5,4,18,,검토력,91,A,78,21,18
모둠발표자료,A1R3,모둠과 먼저 방향을 정한다,내가 직접,0(면제),0(면제),25,적응성,,모둠원들과 발표 질문을 먼저 정한다,내가 직접,16,14,35,사회·관계적 사고,협업력,모둠 발표 흐름과 내 설명이 맞물리는지 점검한다,R3 깊은검토,10,8,30,,,97,S,90,26,22
모둠발표자료,A2R1,모둠과 먼저 방향을 정한다,내가 직접,0(면제),0(면제),25,적응성,,역할을 나누고 각자 맡을 내용을 정한다,내가 직접,14,12,22,,협업력,만든 자료를 바로 모둠에 공유한다,R1 무검토,2,1,10,,,78,B,57,16,13
모둠발표자료,A2R2,모둠과 먼저 방향을 정한다,내가 직접,0(면제),0(면제),25,적응성,,역할을 나누고 각자 맡을 내용을 정한다,내가 직접,14,12,22,,협업력,빠진 출처와 어색한 슬라이드만 확인한다,R2 표면검토,5,4,18,,검토력,85,A,65,19,16
모둠발표자료,A2R3,모둠과 먼저 방향을 정한다,내가 직접,0(면제),0(면제),25,적응성,,역할을 나누고 각자 맡을 내용을 정한다,내가 직접,14,12,22,,협업력,모둠 발표 흐름과 내 설명이 맞물리는지 점검한다,R3 깊은검토,10,8,30,,,91,A,77,24,20
모둠발표자료,A3R1,모둠과 먼저 방향을 정한다,내가 직접,0(면제),0(면제),25,적응성,,내가 맡은 내용을 먼저 이해하고 말로 정리한다,내가 직접→직접쪽,15,13,10,,표현력,만든 자료를 바로 모둠에 공유한다,R1 무검토,2,1,10,,,82,B,45,17,14
모둠발표자료,A3R2,모둠과 먼저 방향을 정한다,내가 직접,0(면제),0(면제),25,적응성,,내가 맡은 내용을 먼저 이해하고 말로 정리한다,내가 직접→직접쪽,15,13,10,,표현력,빠진 출처와 어색한 슬라이드만 확인한다,R2 표면검토,5,4,18,,검토력,88,A,53,20,17
모둠발표자료,A3R3,모둠과 먼저 방향을 정한다,내가 직접,0(면제),0(면제),25,적응성,,내가 맡은 내용을 먼저 이해하고 말로 정리한다,내가 직접→직접쪽,15,13,10,,표현력,모둠 발표 흐름과 내 설명이 맞물리는지 점검한다,R3 깊은검토,10,8,30,,협업력,96,S,65,25,21
모둠발표자료,B1R1,AI로 발표 준비를 빠르게 만들어본다,부분 위임,0(면제),0(면제),10,,,AI에게 발표 주제와 개요를 부탁한다,부분 위임→위임쪽,5,4,0,,,만든 자료를 바로 모둠에 공유한다,R1 무검토,2,1,10,,,24,D,20,7,5
모둠발표자료,B1R2,AI로 발표 준비를 빠르게 만들어본다,부분 위임,0(면제),0(면제),10,,,AI에게 발표 주제와 개요를 부탁한다,부분 위임→위임쪽,5,4,0,,,빠진 출처와 어색한 슬라이드만 확인한다,R2 표면검토,5,4,18,,검토력,40,D,28,10,8
모둠발표자료,B1R3,AI로 발표 준비를 빠르게 만들어본다,부분 위임,0(면제),0(면제),10,,,AI에게 발표 주제와 개요를 부탁한다,부분 위임→위임쪽,5,4,0,,,모둠 발표 흐름과 내 설명이 맞물리는지 점검한다,R3 깊은검토,10,8,30,,협업력,55,D,40,15,12
모둠발표자료,B2R1,AI로 발표 준비를 빠르게 만들어본다,부분 위임,0(면제),0(면제),10,,,AI에게 슬라이드 문구를 만들어 달라고 한다,부분 위임→위임쪽,4,3,15,,,만든 자료를 바로 모둠에 공유한다,R1 무검토,2,1,10,,,30,D,35,6,4
모둠발표자료,B2R2,AI로 발표 준비를 빠르게 만들어본다,부분 위임,0(면제),0(면제),10,,,AI에게 슬라이드 문구를 만들어 달라고 한다,부분 위임→위임쪽,4,3,15,,,빠진 출처와 어색한 슬라이드만 확인한다,R2 표면검토,5,4,18,,검토력,48,D,43,9,7
모둠발표자료,B2R3,AI로 발표 준비를 빠르게 만들어본다,부분 위임,0(면제),0(면제),10,,,AI에게 슬라이드 문구를 만들어 달라고 한다,부분 위임→위임쪽,4,3,15,,,모둠 발표 흐름과 내 설명이 맞물리는지 점검한다,R3 깊은검토,10,8,30,,협업력,60,C,55,14,11
모둠발표자료,B3R1,AI로 발표 준비를 빠르게 만들어본다,부분 위임,0(면제),0(면제),10,,,내가 찾은 자료를 바탕으로 AI에게 발표 대본 초안을 받는다,부분 위임→직접쪽,10,9,35,통합적 사고,자료판단력,만든 자료를 바로 모둠에 공유한다,R1 무검토,2,1,10,,,76,B,55,12,10
모둠발표자료,B3R2,AI로 발표 준비를 빠르게 만들어본다,부분 위임,0(면제),0(면제),10,,,내가 찾은 자료를 바탕으로 AI에게 발표 대본 초안을 받는다,부분 위임→직접쪽,10,9,35,통합적 사고,자료판단력,빠진 출처와 어색한 슬라이드만 확인한다,R2 표면검토,5,4,18,,검토력,86,A,63,15,13
모둠발표자료,B3R3,AI로 발표 준비를 빠르게 만들어본다,부분 위임,0(면제),0(면제),10,,,내가 찾은 자료를 바탕으로 AI에게 발표 대본 초안을 받는다,부분 위임→직접쪽,10,9,35,통합적 사고,자료판단력,모둠 발표 흐름과 내 설명이 맞물리는지 점검한다,R3 깊은검토,10,8,30,,협업력,95,S,75,20,17
모둠발표자료,C1R1,각자 따로 준비하거나 발표 모양부터 만든다,전체 위임,0(면제),0(면제),18,,,모둠 회의 없이 각자 자료를 찾아 합친다,전체 위임→직접쪽,13,11,0,,,만든 자료를 바로 모둠에 공유한다,R1 무검토,2,1,10,,,45,D,28,15,12
모둠발표자료,C1R2,각자 따로 준비하거나 발표 모양부터 만든다,전체 위임,0(면제),0(면제),18,,,모둠 회의 없이 각자 자료를 찾아 합친다,전체 위임→직접쪽,13,11,0,,,빠진 출처와 어색한 슬라이드만 확인한다,R2 표면검토,5,4,18,,검토력,58,D,36,18,15
모둠발표자료,C1R3,각자 따로 준비하거나 발표 모양부터 만든다,전체 위임,0(면제),0(면제),18,,,모둠 회의 없이 각자 자료를 찾아 합친다,전체 위임→직접쪽,13,11,0,,,모둠 발표 흐름과 내 설명이 맞물리는지 점검한다,R3 깊은검토,10,8,30,,협업력,68,C,48,23,19
모둠발표자료,C2R1,각자 따로 준비하거나 발표 모양부터 만든다,전체 위임,0(면제),0(면제),18,,,발표를 잘하는 친구나 한 사람에게 많이 맡긴다,전체 위임→위임쪽,8,7,15,,,만든 자료를 바로 모둠에 공유한다,R1 무검토,2,1,10,,,35,D,43,10,8
모둠발표자료,C2R2,각자 따로 준비하거나 발표 모양부터 만든다,전체 위임,0(면제),0(면제),18,,,발표를 잘하는 친구나 한 사람에게 많이 맡긴다,전체 위임→위임쪽,8,7,15,,,빠진 출처와 어색한 슬라이드만 확인한다,R2 표면검토,5,4,18,,검토력,50,D,51,13,11
모둠발표자료,C2R3,각자 따로 준비하거나 발표 모양부터 만든다,전체 위임,0(면제),0(면제),18,,,발표를 잘하는 친구나 한 사람에게 많이 맡긴다,전체 위임→위임쪽,8,7,15,,,모둠 발표 흐름과 내 설명이 맞물리는지 점검한다,R3 깊은검토,10,8,30,,협업력,62,C,63,18,15
모둠발표자료,C3R1,각자 따로 준비하거나 발표 모양부터 만든다,전체 위임,0(면제),0(면제),18,,,자료보다 발표 모양을 먼저 만든다,전체 위임,12,10,10,,,만든 자료를 바로 모둠에 공유한다,R1 무검토,2,1,10,,,28,D,38,14,11
모둠발표자료,C3R2,각자 따로 준비하거나 발표 모양부터 만든다,전체 위임,0(면제),0(면제),18,,,자료보다 발표 모양을 먼저 만든다,전체 위임,12,10,10,,,빠진 출처와 어색한 슬라이드만 확인한다,R2 표면검토,5,4,18,,검토력,45,D,46,17,14
모둠발표자료,C3R3,각자 따로 준비하거나 발표 모양부터 만든다,전체 위임,0(면제),0(면제),18,,,자료보다 발표 모양을 먼저 만든다,전체 위임,12,10,10,,,모둠 발표 흐름과 내 설명이 맞물리는지 점검한다,R3 깊은검토,10,8,30,,협업력,60,C,58,22,18
어린왕자독후감,A1R1,책을 직접 읽고 쓴다,내가 직접,0(면제),0(면제),25,호기심,,처음부터 읽고 짧게라도 독후감을 쓴다,내가 직접→직접쪽,18,16,35,,문해력,감상문을 바로 낸다,R1 무검토,2,1,10,,,86,A,70,20,17
어린왕자독후감,A1R2,책을 직접 읽고 쓴다,내가 직접,0(면제),0(면제),25,호기심,,처음부터 읽고 짧게라도 독후감을 쓴다,내가 직접→직접쪽,18,16,35,,문해력,이상한 내용이나 책과 다른 부분만 표시한다,R2 표면검토,5,4,18,,자료판단력,91,A,78,23,20
어린왕자독후감,A1R3,책을 직접 읽고 쓴다,내가 직접,0(면제),0(면제),25,호기심,,처음부터 읽고 짧게라도 독후감을 쓴다,내가 직접→직접쪽,18,16,35,,문해력,책의 장면과 내 감상이 실제로 이어지는지 다시 확인한다,R3 깊은검토,10,8,30,,검토력,97,S,90,28,24
어린왕자독후감,A2R1,책을 직접 읽고 쓴다,내가 직접,0(면제),0(면제),25,호기심,,읽다가 밑줄 친 문장이나 장면을 중심으로 쓴다,내가 직접,16,14,22,,문해력,감상문을 바로 낸다,R1 무검토,2,1,10,,,88,A,57,18,15
어린왕자독후감,A2R2,책을 직접 읽고 쓴다,내가 직접,0(면제),0(면제),25,호기심,,읽다가 밑줄 친 문장이나 장면을 중심으로 쓴다,내가 직접,16,14,22,,문해력,이상한 내용이나 책과 다른 부분만 표시한다,R2 표면검토,5,4,18,,자료판단력,93,A,65,21,18
어린왕자독후감,A2R3,책을 직접 읽고 쓴다,내가 직접,0(면제),0(면제),25,호기심,,읽다가 밑줄 친 문장이나 장면을 중심으로 쓴다,내가 직접,16,14,22,,문해력,책의 장면과 내 감상이 실제로 이어지는지 다시 확인한다,R3 깊은검토,10,8,30,,검토력,98,S,77,26,22
어린왕자독후감,A3R1,책을 직접 읽고 쓴다,내가 직접,0(면제),0(면제),25,호기심,,이해되지 않는 부분을 붙들고 독후감을 쓴다,내가 직접→직접쪽,18,16,10,,분석력,감상문을 바로 낸다,R1 무검토,2,1,10,,,82,B,45,20,17
어린왕자독후감,A3R2,책을 직접 읽고 쓴다,내가 직접,0(면제),0(면제),25,호기심,,이해되지 않는 부분을 붙들고 독후감을 쓴다,내가 직접→직접쪽,18,16,10,,분석력,이상한 내용이나 책과 다른 부분만 표시한다,R2 표면검토,5,4,18,,자료판단력,90,A,53,23,20
어린왕자독후감,A3R3,책을 직접 읽고 쓴다,내가 직접,0(면제),0(면제),25,호기심,,이해되지 않는 부분을 붙들고 독후감을 쓴다,내가 직접→직접쪽,18,16,10,,분석력,책의 장면과 내 감상이 실제로 이어지는지 다시 확인한다,R3 깊은검토,10,8,30,,검토력,96,S,65,28,24
어린왕자독후감,B1R1,AI나 다른 도움으로 읽을 실마리를 잡는다,부분 위임,0(면제),0(면제),10,,,AI나 검색 요약으로 줄거리를 파악하고 중요한 장면 하나를 책에서 찾아 읽는다,부분 위임→위임쪽,9,8,10,,,감상문을 바로 낸다,R1 무검토,2,1,10,,,60,C,30,11,9
어린왕자독후감,B1R2,AI나 다른 도움으로 읽을 실마리를 잡는다,부분 위임,0(면제),0(면제),10,,,AI나 검색 요약으로 줄거리를 파악하고 중요한 장면 하나를 책에서 찾아 읽는다,부분 위임→위임쪽,9,8,10,,,이상한 내용이나 책과 다른 부분만 표시한다,R2 표면검토,5,4,18,,자료판단력,73,C,38,14,12
어린왕자독후감,B1R3,AI나 다른 도움으로 읽을 실마리를 잡는다,부분 위임,0(면제),0(면제),10,,,AI나 검색 요약으로 줄거리를 파악하고 중요한 장면 하나를 책에서 찾아 읽는다,부분 위임→위임쪽,9,8,10,,,책의 장면과 내 감상이 실제로 이어지는지 다시 확인한다,R3 깊은검토,10,8,30,,검토력,82,B,50,19,16
어린왕자독후감,B2R1,AI나 다른 도움으로 읽을 실마리를 잡는다,부분 위임,0(면제),0(면제),10,,,유명한 문장이나 소개 자료를 보고 그 앞뒤 장면을 직접 읽는다,부분 위임→직접쪽,9,8,15,,,감상문을 바로 낸다,R1 무검토,2,1,10,,,66,C,35,11,9
어린왕자독후감,B2R2,AI나 다른 도움으로 읽을 실마리를 잡는다,부분 위임,0(면제),0(면제),10,,,유명한 문장이나 소개 자료를 보고 그 앞뒤 장면을 직접 읽는다,부분 위임→직접쪽,9,8,15,,,이상한 내용이나 책과 다른 부분만 표시한다,R2 표면검토,5,4,18,,자료판단력,78,B,43,14,12
어린왕자독후감,B2R3,AI나 다른 도움으로 읽을 실마리를 잡는다,부분 위임,0(면제),0(면제),10,,,유명한 문장이나 소개 자료를 보고 그 앞뒤 장면을 직접 읽는다,부분 위임→직접쪽,9,8,15,,,책의 장면과 내 감상이 실제로 이어지는지 다시 확인한다,R3 깊은검토,10,8,30,,검토력,88,A,55,19,16
어린왕자독후감,B3R1,AI나 다른 도움으로 읽을 실마리를 잡는다,부분 위임,0(면제),0(면제),10,,,책을 읽으며 AI에게 궁금한 점을 물어보고 내 생각을 정리한다,부분 위임→직접쪽,12,10,35,맥락적 사고,탐색력,감상문을 바로 낸다,R1 무검토,2,1,10,,,82,B,55,14,11
어린왕자독후감,B3R2,AI나 다른 도움으로 읽을 실마리를 잡는다,부분 위임,0(면제),0(면제),10,,,책을 읽으며 AI에게 궁금한 점을 물어보고 내 생각을 정리한다,부분 위임→직접쪽,12,10,35,맥락적 사고,탐색력,이상한 내용이나 책과 다른 부분만 표시한다,R2 표면검토,5,4,18,,자료판단력,90,A,63,17,14
어린왕자독후감,B3R3,AI나 다른 도움으로 읽을 실마리를 잡는다,부분 위임,0(면제),0(면제),10,,,책을 읽으며 AI에게 궁금한 점을 물어보고 내 생각을 정리한다,부분 위임→직접쪽,12,10,35,맥락적 사고,탐색력,책의 장면과 내 감상이 실제로 이어지는지 다시 확인한다,R3 깊은검토,10,8,30,,검토력,97,S,75,22,18
어린왕자독후감,C1R1,책 읽기를 건너뛰고 독후감을 만들어본다,전체 위임,0(면제),0(면제),18,,,AI에게 줄거리와 독후감 초안을 바로 부탁한다,전체 위임→위임쪽,4,3,0,,,감상문을 바로 낸다,R1 무검토,2,1,10,,,14,D,28,6,4
어린왕자독후감,C1R2,책 읽기를 건너뛰고 독후감을 만들어본다,전체 위임,0(면제),0(면제),18,,,AI에게 줄거리와 독후감 초안을 바로 부탁한다,전체 위임→위임쪽,4,3,0,,,이상한 내용이나 책과 다른 부분만 표시한다,R2 표면검토,5,4,18,,자료판단력,28,D,36,9,7
어린왕자독후감,C1R3,책 읽기를 건너뛰고 독후감을 만들어본다,전체 위임,0(면제),0(면제),18,,,AI에게 줄거리와 독후감 초안을 바로 부탁한다,전체 위임→위임쪽,4,3,0,,,책의 장면과 내 감상이 실제로 이어지는지 다시 확인한다,R3 깊은검토,10,8,30,,검토력,60,C,48,14,11
어린왕자독후감,C2R1,책 읽기를 건너뛰고 독후감을 만들어본다,전체 위임,0(면제),0(면제),18,,,검색한 줄거리나 영상 소개만 보고 독후감을 쓴다,전체 위임,6,5,15,,,감상문을 바로 낸다,R1 무검토,2,1,10,,,25,D,43,8,6
어린왕자독후감,C2R2,책 읽기를 건너뛰고 독후감을 만들어본다,전체 위임,0(면제),0(면제),18,,,검색한 줄거리나 영상 소개만 보고 독후감을 쓴다,전체 위임,6,5,15,,,이상한 내용이나 책과 다른 부분만 표시한다,R2 표면검토,5,4,18,,자료판단력,38,D,51,11,9
어린왕자독후감,C2R3,책 읽기를 건너뛰고 독후감을 만들어본다,전체 위임,0(면제),0(면제),18,,,검색한 줄거리나 영상 소개만 보고 독후감을 쓴다,전체 위임,6,5,15,,,책의 장면과 내 감상이 실제로 이어지는지 다시 확인한다,R3 깊은검토,10,8,30,,검토력,52,D,63,16,13
어린왕자독후감,C3R1,책 읽기를 건너뛰고 독후감을 만들어본다,전체 위임,0(면제),0(면제),18,,,유명한 문장이나 분위기만으로 독후감을 쓴다,전체 위임,6,5,25,,검토력,감상문을 바로 낸다,R1 무검토,2,1,10,,,18,D,53,8,6
어린왕자독후감,C3R2,책 읽기를 건너뛰고 독후감을 만들어본다,전체 위임,0(면제),0(면제),18,,,유명한 문장이나 분위기만으로 독후감을 쓴다,전체 위임,6,5,25,,검토력,이상한 내용이나 책과 다른 부분만 표시한다,R2 표면검토,5,4,18,,자료판단력,30,D,61,11,9
어린왕자독후감,C3R3,책 읽기를 건너뛰고 독후감을 만들어본다,전체 위임,0(면제),0(면제),18,,,유명한 문장이나 분위기만으로 독후감을 쓴다,전체 위임,6,5,25,,검토력,책의 장면과 내 감상이 실제로 이어지는지 다시 확인한다,R3 깊은검토,10,8,30,,,42,D,73,16,13
AI시대진로,A1R1,내가 끌리는 것과 걱정하는 것부터 찾아본다,내가 직접,0(면제),0(면제),25,호기심,,내가 자주 보는 것과 좋아하는 것을 적어본다,내가 직접,14,12,35,,자기이해,나온 추천을 그대로 정리한다,R1 무검토,2,1,10,,,84,B,70,16,13
AI시대진로,A1R2,내가 끌리는 것과 걱정하는 것부터 찾아본다,내가 직접,0(면제),0(면제),25,호기심,,내가 자주 보는 것과 좋아하는 것을 적어본다,내가 직접,14,12,35,,자기이해,낯선 직업 이름과 이상한 정보만 확인한다,R2 표면검토,5,4,18,,자료판단력,90,A,78,19,16
AI시대진로,A1R3,내가 끌리는 것과 걱정하는 것부터 찾아본다,내가 직접,0(면제),0(면제),25,호기심,,내가 자주 보는 것과 좋아하는 것을 적어본다,내가 직접,14,12,35,,자기이해,"내 관심, 걱정, 실제 해볼 활동과 이어지는지 다시 본다",R3 깊은검토,10,8,30,,검토력,96,S,90,24,20
AI시대진로,A2R1,내가 끌리는 것과 걱정하는 것부터 찾아본다,내가 직접,0(면제),0(면제),25,호기심,,AI 시대에 내가 걱정하는 말을 적어본다,내가 직접,13,11,22,,자기이해,나온 추천을 그대로 정리한다,R1 무검토,2,1,10,,,80,B,57,15,12
AI시대진로,A2R2,내가 끌리는 것과 걱정하는 것부터 찾아본다,내가 직접,0(면제),0(면제),25,호기심,,AI 시대에 내가 걱정하는 말을 적어본다,내가 직접,13,11,22,,자기이해,낯선 직업 이름과 이상한 정보만 확인한다,R2 표면검토,5,4,18,,자료판단력,87,A,65,18,15
AI시대진로,A2R3,내가 끌리는 것과 걱정하는 것부터 찾아본다,내가 직접,0(면제),0(면제),25,호기심,,AI 시대에 내가 걱정하는 말을 적어본다,내가 직접,13,11,22,,자기이해,"내 관심, 걱정, 실제 해볼 활동과 이어지는지 다시 본다",R3 깊은검토,10,8,30,,검토력,94,A,77,23,19
