path,value
cards.공감력.short,타인의 마음을 읽고 따라가는 능력
cards.공감력.full_definition,공감력 — 타인의 마음·맥락을 따라가는 능력
cards.공감력.description,"등장인물이나 상대가 무엇을 느끼는지 함께 따라간다.
자기 자리에서만 보지 않고 상대 자리에서 다시 본다.
AI가 흉내 낼 수 없는 인간의 결."
cards.해석능력.color,#455a64
cards.해석능력.short,주어진 자료에서 자기 의미를 만드는 능력
cards.해석능력.full_definition,해석능력 — 주어진 자료에서 자기 의미를 만드는 능력
cards.해석능력.description,"텍스트·이미지·상황을 자기 시선으로 다시 읽는다.
""정답""을 찾는 것이 아니라 ""내가 이렇게 본다""를 만든다.
AI 해석을 참고해도 마지막 의미 형성은 자기 자리."
cards.진로탐색.color,#00695c
cards.진로탐색.short,자기 미래의 가능성을 찾고 비교하는 시선
cards.진로탐색.full_definition,진로탐색 — 자기 미래의 가능성을 찾고 비교하는 시선
cards.진로탐색.description,"한 길에 갇히지 않고 여러 가능성을 살핀다.
자기 관심·강점과 외부 세계의 길을 잇는다.
AI에게 추천 받아도 결국 길을 고르는 건 자기 자리."
cards.정보분석.color,#303f9f
cards.정보분석.short,자료를 비교하고 판단하는 시선
cards.정보분석.full_definition,정보분석 — 자료를 비교하고 신뢰도·맥락을 판단하는 시선
cards.정보분석.description,"여러 출처를 모으고 비교하고 가중치를 매긴다.
한 자료에 휩쓸리지 않고 교차 검증한다.
AI 결과도 한 자료로 두고 다른 자료와 비교하는 습관."
cards.직업이해.color,#bf360c
cards.직업이해.short,직업 세계의 실제 결을 읽는 능력
cards.직업이해.full_definition,직업이해 — 직업 세계의 실제 결·맥락을 읽는 능력
cards.직업이해.description,"직업의 표면 라벨이 아니라 실제 일의 결을 안다.
어떤 사람이 어떤 환경에서 무엇을 하는지를 이해한다.
AI가 만든 정형 직업 설명을 넘어 살아 있는 맥락을 보는 자리."
cards.학습설계.color,#558b2f
cards.학습설계.short,자기 학습을 계획하고 통제하는 능력
cards.학습설계.full_definition,학습설계 — 자기 학습의 목표·구조·페이스를 짜는 능력
cards.학습설계.description,"무엇을 어떤 순서로 어떻게 배울지 자기 손으로 짠다.
목표를 단계로 분해하고 자기 페이스에 맞춘다.
AI가 커리큘럼을 제안해도 자기 학습의 주인은 자기."
cards.시간관리.color,#0097a7
cards.시간관리.short,시간이라는 자원을 의식적으로 쓰는 능력
cards.시간관리.full_definition,시간관리 — 시간이라는 자원을 의식적으로 쓰는 능력
cards.시간관리.description,"마감·우선순위·페이스를 자기 손으로 쥔다.
한정된 시간 안에서 무엇에 얼마를 줄지 결정한다.
AI가 일을 빠르게 해줘도 자기 시간을 어디에 쓸지는 자기 결정."
cards.학습전략.color,#6a1b9a
cards.학습전략.short,자기 학습을 효율적으로 굴리는 방법론
cards.학습전략.full_definition,학습전략 — 자기 학습을 효율적으로 굴리는 방법론
cards.학습전략.description,"반복·요약·문제풀이·간격 학습 등 자기에게 맞는 방법을 안다.
막연한 노력이 아니라 검증된 결로 학습을 굴린다.
AI를 보조 도구로 쓰되, 학습의 핵심 메카닉은 자기 손에."
narrative.types.pp.label,주도형 (Aware Builder)
narrative.types.pp.text,AI 시대 학습자로서 <b>자기 판단력과 도메인 지식 둘 다 단단하게</b> 자랐다. 위임의 경계를 의식적으로 그으면서 자신만의 도메인을 키운 유형. 학습 활동에서 AI 활용과 자기 판단 둘 다 능동적으로 통제했다.
narrative.types.pn.label,분별형 (Aware Light)
narrative.types.pn.text,AI 활용 판단은 단단한데 <b>도메인 지식 축적이 약하다</b>. AI를 잘 쓰지만 그 결과를 검증할 자기 도메인이 부족할 위험. AI 의존도가 낮아도 자기 학습 깊이가 따라오지 않으면 위임 판단 자체가 표면적이 될 수 있다.
narrative.types.np.label,자립형 (Self-Reliant)
narrative.types.np.text,<b>자기 힘으로 풀어내면서 도메인 지식도 자랐다</b>. 다만 AI에 맡기면 효율이 올라갈 자리에서도 혼자 갔다. 위임 판단을 의식적으로 하는 연습이 다음 단계 — AI를 안 쓰는 것이 항상 좋은 것은 아니다.
narrative.types.nn.label,출발형 (Drift)
narrative.types.nn.text,AI에 위임도 많고 <b>도메인 축적도 약한</b> 패턴. 학습자로서 다시 시작점에 서 있다. 위임의 경계를 의식하는 것이 첫 걸음 — AI 결과를 그대로 받지 말고 자기 판단으로 한 번 더 거르는 습관부터.
narrative.types.mid.label,탐색형 (In-Between)
narrative.types.mid.text,위임 판단력과 도메인 지식 모두 중간대에 머무른다. 어느 한 쪽으로 뚜렷한 패턴이 자리잡지 않은 단계. 다음 학기에는 한 회기씩 자기 선택의 이유를 의식적으로 짚어보면 <b>방향이 보일 것</b>이다.
narrative.tier1_patterns.no_data.distribution,1차 선택 데이터가 없다.
narrative.tier1_patterns.no_data.interpretation,패턴을 보기 어렵다.
narrative.tier1_patterns.balanced.pattern,균형
narrative.tier1_patterns.balanced.interpretation,상황마다 다른 길을 골랐다 — <b>유연한 판단력</b>.
narrative.tier1_patterns.A_dominant.pattern,A 우세
narrative.tier1_patterns.A_dominant.interpretation,<b>직접 처리</b> 패턴 — 자기 판단으로 시작하는 학생.
narrative.tier1_patterns.B_dominant.pattern,B 우세
narrative.tier1_patterns.B_dominant.interpretation,<b>AI 위임</b> 패턴 — AI 활용 판단을 빠르게 결정하는 스타일.
narrative.tier1_patterns.C_dominant.pattern,C 우세
narrative.tier1_patterns.C_dominant.interpretation,<b>자료 비교</b> 패턴 — 정보 검토에 시간을 들이는 신중한 학생.
narrative.tier1_patterns.mixed.pattern,혼합
narrative.tier1_patterns.mixed.interpretation,상황마다 다른 길을 골랐다 — <b>유연한 판단력</b>.
narrative.card_distribution.common_dominant,공통 카드 {common}장 / 특화 카드 {specialized}장 — <b>검증·성찰 시선</b>이 학기 통틀어 일관되게 자랐다.
narrative.card_distribution.specialized_dominant,공통 카드 {common}장 / 특화 카드 {specialized}장 — <b>특정 도메인</b>에서 깊은 카드가 쌓였다.
narrative.card_distribution.balanced,공통 카드 {common}장 / 특화 카드 {specialized}장 — 검증·성찰과 도메인이 균형 있게 쌓였다.
narrative.no_cards.title,이번 학기는 카드를 한 장도 받지 못했다.
narrative.no_cards.body,시나리오 후반부의 leaf 선택이 카드 보상과 연결되어 있다 — 다음 학기에는 자기 선택이 어떤 카드로 이어지는지 의식해 보자.
narrative.zero_card_scenes,<b>{scenarios}</b> 회기에서는 카드를 받지 못했다 — 다음 학기 도전 포인트.
narrative.section_titles.type,학습자 패턴
narrative.section_titles.cards,카드 누적 인사이트
narrative.section_titles.tier1,학생 선택 패턴
ui_messages.game_over.title,GAME OVER
ui_messages.game_over.body,자원이 부족해요.<br>시간과 에너지가 모자라 더 이상 선택할 수 없습니다.
ui_messages.game_over.resources_label,현재 자원
ui_messages.game_over.time_label,시간
ui_messages.game_over.energy_label,에너지
ui_messages.game_over.btn_report,리포트 보기
ui_messages.game_over.btn_restart,학기 처음부터
ui_messages.inventory.panel_title,역량 카드
ui_messages.inventory.tab_name,역량 카드
ui_messages.inventory.tab_desc,모은 카드 보기
ui_messages.inventory.empty,아직 획득한 카드가 없어요.<br>시나리오 끝에 카드를 받을 수 있습니다.
ui_messages.card_reward.btn_acquire,획득
ui_messages.card_reward.tag_format,역량 카드 획득 · {idx}/{total}
ui_messages.scenario_result.no_card_notice,이번엔 역량 카드를 받지 못했어요.
ui_messages.scene_mood.received_one_or_two,이번 회기에 {cards} 카드를 얻었다.
ui_messages.scene_mood.received_more,이번 회기에 {cards} 외 {extra}장 카드를 얻었다.
ui_messages.scene_mood.not_received,이번 회기는 카드를 받지 못했다.
ui_messages.reset_confirm.title,학기를 처음부터 시작할까요?
ui_messages.reset_confirm.subtitle,지금까지 진행한 학기가 모두 사라지고 새 학생으로 다시 시작합니다.
ui_messages.reset_confirm.btn_cancel,계속하기
ui_messages.reset_confirm.btn_destructive,다시 시작
report.title,한 학기 활동 리포트
report.subtitle,자기소개 → 모둠 발표 → 어린왕자 → 진로 → 시험 공부<br>다섯 결정이 한 학생의 한 학기를 만들었다.
report.stat_labels.total,학기 총점
report.stat_labels.level,최종 레벨
report.stat_labels.delegation,위임 판단력
report.stat_labels.knowledge,도메인 지식
report.cards_section.title,한 학기 동안 모은 역량 카드 — 총 {N}장
report.cards_section.empty,이번 학기는 역량 카드를 받지 못했어요. 다시 도전!
report.btn_restart,학기 처음부터
report.semester_final.title,한 학기를 모두 통과했다.
report.semester_final.body,다섯 결정이 누적되어 한 학생의 한 학기가 되었다.<br>처음부터 다시 시작하면 새 학생이 같은 결정을 마주한다.
title_screen.page_title,AI 리터러시: 위임의 경계
title_screen.heading,"위임의 경계 — AI 시대, 무엇을 맡기고 무엇을 직접 할 것인가"
title_screen.intro,"딸깍하면 누구나 할 수 있는 AI 시대라고 한다.<br>누구나 할 수 있다면, 누구인가가 중요하다."
title_screen.host_question,무엇을 AI가 해야 하고 무엇은 내가 직접 해야 하는지.<br>당신은 구별할 수 있을까?
title_screen.host_call,"AI 리터러시, 위임의 경계!"
title_screen.tutorial.0,"시나리오마다 선택지를 고른다. 각 선택은 <span class=""kw-time"">시간</span>과 <span class=""kw-energy"">에너지</span>를 쓴다."
title_screen.tutorial.1,"어떤 선택을 하느냐에 따라 결과물의 점수가 달라지고, <span class=""kw-delegation"">위임판단력</span>과 <span class=""kw-knowledge"">도메인지식</span>이 자란다."
title_screen.tutorial.2,"결과물 점수에 따라 등급이 매겨지고, 다음 시나리오의 <span class=""kw-time"">시간</span>·<span class=""kw-energy"">에너지</span>가 충전된다."
title_screen.tutorial.3,"쌓인 <span class=""kw-delegation"">위임판단력</span>·<span class=""kw-knowledge"">도메인지식</span>은 다음 선택의 <span class=""kw-time"">시간</span>·<span class=""kw-energy"">에너지</span> 비용을 깎아준다. (할인 효과)"
title_screen.btn_start,게임 시작
title_screen.btn_tutorial,튜토리얼 다시 보기
start_screen.heading,AI 리터러시: 위임의 경계
start_screen.subtitle,이건 AI한테 맡겨도 돼?
start_screen.version_tag,v0.7 — 한 학생의 한 학기
start_screen.progress_label,학기 진행
start_screen.mark_cleared,클리어
start_screen.mark_next,다음 추천 →
start_screen.mark_free,자유 선택
start_screen.btn_restart,학기 처음부터
start_screen.btn_report,학기 종합 리포트
start_screen.btn_continue,이어서 진행
start_screen.btn_next,다음 시나리오
start_screen.btn_tutorial,튜토리얼 다시 보기
panel_labels.resource_title,자원
panel_labels.time,시간
panel_labels.energy,에너지
panel_labels.competency_title,역량
panel_labels.delegation,위임 판단력
panel_labels.knowledge,도메인 지식
levelup_modal.badge,LEVEL UP
levelup_modal.meter_label,자원 메터 max 증가
levelup_modal.meter_format,시간 +{time} / 에너지 +{energy}
levelup_modal.token_label,자원토큰 보너스
levelup_modal.btn_confirm,확인 →
rp_modal.title,자원토큰 분배
rp_modal.subtitle,받은 토큰을 시간과 에너지에 나눠 담으세요. 남은 토큰이 0이 되면 다음 시나리오로 넘어갑니다.
rp_modal.balance_label,남은 자원토큰
rp_modal.time_label,시간
rp_modal.energy_label,에너지
result_texts.types.pp,AI를 동료로 쓰면서 자기 지식도 같이 키웠다. AI 리터러시의 본 모습.
result_texts.types.pn,"AI를 잘 골라 썼지만, 검증할 자기 토대가 얇다. AI의 답을 비판할 힘이 모자란다."
result_texts.types.np,자기 힘으로 풀어냈다. 다만 AI에 맡겨야 할 자리에서도 혼자 갔다 — 효율이 떨어졌다.
result_texts.types.nn,"AI 리터러시의 출발선. 무엇을 위임하고 무엇을 익힐지, 다시 한 번."
result_texts.types.mid,흔들리며 길을 찾는 중.
result_texts.moods.S,"와, 이번 학기 진짜 멋졌어. AI랑 베프가 됐네."
result_texts.moods.A,꽤 잘 골라 썼어. 다음엔 더 멀리 갈 수 있겠다.
result_texts.moods.B,맞췄다 놓쳤다 한 학기. 다음엔 어떻게 갈까?
result_texts.moods.C,좀 헷갈렸지? 뭐가 내 일이고 뭐가 AI 일인지.
result_texts.moods.D,이번 학기는 그냥 흘려보냈어. 한 번 더 도전!
