번호,구분,시나리오,위치,수정 전,수정 후,피터공 판단
19,구조(카드·등급·태그),어린왕자 독후감,finals.C1R3.grade,D,C,
20,구조(카드·등급·태그),어린왕자 독후감,finals.C1R3.score,45,60,
21,텍스트,어린왕자 독후감,results.B3.summary,외부 단서에서 시작해 직접 확인한 독후감,책을 읽으며 AI와 대화해 정리한 독후감,
22,텍스트,어린왕자 독후감,results.B3.text,"친구가 말해준 내용이나 영상 소개를 듣고, 그중 궁금한 장면 하나를 책에서 찾아 읽은 뒤 독후감 초안이 만들어졌다. 출발은 책 밖의 단서였지만, 일부 장면은 직접 만난 상태이다.","책을 읽어 가며 궁금한 점을 AI에게 묻고, 그 답을 내 생각과 견주어 정리한 독후감 초안이 만들어졌다. 책과의 만남 위에 AI와의 대화가 쌓인 상태이다.",
23,텍스트,어린왕자 독후감,reviewSupplements.B1R1,책 제목만 주고 받은 AI 독후감을 그대로 냈다. 안 읽은 책 자리에 환각이 들어왔다.,요약으로 잡은 줄거리에 장면 하나만 직접 본 채 그대로 냈다. 읽은 조각 밖은 빌린 말로 남았다.,
24,텍스트,어린왕자 독후감,reviewSupplements.B2R1,AI에서 받은 줄거리와 인용을 다듬어 그대로 냈다. 글은 정돈됐지만 책은 자기에게 통과하지 않았다.,유명한 문장과 그 앞뒤 장면만 본 채 그대로 냈다. 읽은 조각 밖의 책은 자기에게 통과하지 않았다.,
25,텍스트,어린왕자 독후감,reviewSupplements.B3R1,자기 감상을 끝까지 먼저 쓰고 AI에는 표현만 다듬어 받았다. 감상의 무게는 자기 안에 있었다.,"책을 읽으며 AI와 주고받은 질문으로 생각은 쌓였지만, 정리한 글을 확인 없이 그대로 냈다.",
26,구조(카드·등급·태그),어린왕자 독후감,tier2.A[1].discountTags.domain,문해력 · 분석력,문해력 · 분석력 · 표현력,
27,텍스트,모둠 발표 자료,finals.A1R1.reportReflection,"AI와 자료를 함께 쓰되, 모둠 흐름과 설명 가능성을 끝까지 확인했다.","모둠의 질문을 먼저 세웠기에, 발표 흐름과 설명 가능성까지 붙들 수 있었다.",
28,텍스트,모둠 발표 자료,finals.A1R2.reportReflection,"AI와 자료를 함께 쓰되, 모둠 흐름과 설명 가능성을 끝까지 확인했다.","모둠의 질문을 먼저 세웠기에, 발표 흐름과 설명 가능성까지 붙들 수 있었다.",
29,텍스트,모둠 발표 자료,finals.A1R3.reportReflection,"AI와 자료를 함께 쓰되, 모둠 흐름과 설명 가능성을 끝까지 확인했다.","모둠의 질문을 먼저 세웠기에, 발표 흐름과 설명 가능성까지 붙들 수 있었다.",
30,구조(카드·등급·태그),모둠 발표 자료,finals.B2R2.domainCards,표현력 · 검토력,(없음),
31,구조(카드·등급·태그),모둠 발표 자료,finals.B2R2.humanCentricAxis,융합하기,(빈값),
32,구조(카드·등급·태그),모둠 발표 자료,finals.B2R2.humanCentricTag,맥락적 사고,(빈값),
33,구조(카드·등급·태그),모둠 발표 자료,finals.B2R3.cardEarned,끔(false),켬(true),
34,텍스트,모둠 발표 자료,finals.B2R3.reportReflection,"AI와 자료를 함께 쓰되, 모둠 흐름과 설명 가능성을 끝까지 확인했다.",AI가 만든 문구라도 모둠 흐름과 내 설명에 맞는지 끝까지 확인할 때 내 발표가 된다.,
35,구조(카드·등급·태그),모둠 발표 자료,finals.C1R3.domainCards,협업력 · 소통력,협업력 · 검토력,
36,구조(카드·등급·태그),모둠 발표 자료,finals.C2R3.cardEarned,끔(false),켬(true),
37,구조(카드·등급·태그),모둠 발표 자료,reviews[1].discountTags.domain,검토력 · 자료판단력,검토력 · 자료판단력 · 분석력,
38,구조(카드·등급·태그),모둠 발표 자료,reviews[2].discountTags.domain,협업력 · 표현력 · 검토력,협업력 · 표현력 · 검토력 · 분석력,
39,구조(카드·등급·태그),자기소개 글,finals.A3R1.cardEarned,켬(true),끔(false),
40,구조(카드·등급·태그),자기소개 글,finals.A3R1.domainCards,자기이해,(없음),
41,구조(카드·등급·태그),자기소개 글,finals.B1R3.growthCard,빈자리 발견,회복력,
42,구조(카드·등급·태그),자기소개 글,finals.B2R1.grade,D,C,
43,구조(카드·등급·태그),자기소개 글,finals.B2R1.score,55,62,
44,텍스트,자기소개 글,finals.B3R2.awareness,"AI가 고친 표현 중 내 말투에 맞는 것만 골랐어요. 글은 단단해졌지만, 더 깊게 보면 내 이야기의 중심이 더 선명해질 수 있어요.","AI 초안에서 내 말투가 아닌 표현을 골라 고쳤어요. 글은 단단해졌지만, 더 깊게 보면 내 이야기의 중심이 더 선명해질 수 있어요.",
45,텍스트,자기소개 글,finals.B3R2.reportFeedback,"AI가 고친 표현 중 내 말투에 맞는 것만 골랐어요. 글은 단단해졌지만, 더 깊게 보면 내 이야기의 중심이 더 선명해질 수 있어요.","AI 초안에서 내 말투가 아닌 표현을 골라 고쳤어요. 글은 단단해졌지만, 더 깊게 보면 내 이야기의 중심이 더 선명해질 수 있어요.",
46,텍스트,자기소개 글,finals.B3R2.shortFeedback,AI가 고친 표현 중 내 말투에 맞는 것만 골랐어요.,AI 초안에서 내 말투가 아닌 표현을 골라 고쳤어요.,
47,텍스트,자기소개 글,finals.B3R3.reportReflection,"내 이야기를 먼저 세우고, 마지막에 책임질 수 있는 말만 남겼다.","AI 초안에서 출발했지만, 마지막에는 책임질 수 있는 내 말만 남겼다.",
48,텍스트,자기소개 글,finals.C1R1.reportReflection,내 말에서 시작했더라도 마지막 확인이 부족하면 소개의 힘이 약해진다.,"AI에게 통째로 맡긴 글은 빨리 생겼지만, 그 안에 내 이야기가 남지 않았다.",
49,텍스트,자기소개 글,finals.C1R2.reportReflection,"내 경험은 들어갔지만, 왜 그것이 나를 보여주는지 더 분명히 할 필요가 있다.","검토로 글을 다듬었지만, 출발이 AI였던 만큼 내 경험이 글의 중심에 얇게 남았다.",
50,텍스트,자기소개 글,finals.C1R3.reportReflection,"내 경험은 들어갔지만, 왜 그것이 나를 보여주는지 더 분명히 할 필요가 있다.","검토로 글을 다듬었지만, 출발이 AI였던 만큼 내 경험이 글의 중심에 얇게 남았다.",
51,텍스트,자기소개 글,finals.C2R3.cut6Feedback,출발은 했지만 중요한 확인 과정이 일부 비어 있어요. 다음에는 내가 책임질 수 있는 근거를 더 남겨 보세요.,꼼꼼히 확인한 점이 좋았어요. 다음에는 출발부터 내 이야기에서 시작하면 더 단단해질 수 있어요.,
52,텍스트,자기소개 글,finals.C2R3.replaySuggestion,다시 해본다면 그대로 진행하기 전에 이상한 부분을 표시하거나 처음부터 다시 확인해 보세요.,다시 해본다면 시작부터 내 경험을 먼저 꺼내 보세요.,
53,구조(카드·등급·태그),자기소개 글,finals.C3R1.cardEarned,켬(true),끔(false),
54,구조(카드·등급·태그),자기소개 글,finals.C3R1.domainCards,표현력,(없음),
55,구조(카드·등급·태그),자기소개 글,finals.C3R1.humanCentricAxis,융합하기,(빈값),
56,구조(카드·등급·태그),자기소개 글,finals.C3R1.humanCentricTag,통합적 사고,(빈값),
57,텍스트,자기소개 글,finals.C3R3.reportReflection,"내 이야기를 먼저 세우고, 마지막에 책임질 수 있는 말만 남겼다.","AI 초안에서 출발했지만, 마지막에는 책임질 수 있는 내 말만 남겼다.",
58,구조(카드·등급·태그),자기소개 글,reviews[1].discountTags.domain,검토력 · 표현력,검토력 · 표현력 · 분석력,
59,구조(카드·등급·태그),자기소개 글,reviews[2].discountTags.domain,검토력 · 자기이해,검토력 · 자기이해 · 분석력,
60,구조(카드·등급·태그),자기소개 글,tier2.B[2].discountTags.domain,검토력 · 표현력,검토력 · 표현력 · 자기이해,
61,구조(카드·등급·태그),시험 2주 전 — 공부를 어떻게,finals.A1R3.domainCards,학습력,학습력 · 검토력,
62,구조(카드·등급·태그),시험 2주 전 — 공부를 어떻게,finals.A2R1.humanCentricAxis,융합하기,중심잡기,
63,구조(카드·등급·태그),시험 2주 전 — 공부를 어떻게,finals.A2R1.humanCentricTag,문제해결적 사고,주체성,
64,구조(카드·등급·태그),시험 2주 전 — 공부를 어떻게,finals.A2R2.humanCentricAxis,융합하기,중심잡기,
65,구조(카드·등급·태그),시험 2주 전 — 공부를 어떻게,finals.A2R2.humanCentricTag,문제해결적 사고,주체성,
66,구조(카드·등급·태그),시험 2주 전 — 공부를 어떻게,finals.A2R3.humanCentricAxis,융합하기,중심잡기,
67,구조(카드·등급·태그),시험 2주 전 — 공부를 어떻게,finals.A2R3.humanCentricTag,문제해결적 사고,주체성,
68,구조(카드·등급·태그),시험 2주 전 — 공부를 어떻게,finals.A3R1.humanCentricAxis,융합하기,성찰하기,
69,구조(카드·등급·태그),시험 2주 전 — 공부를 어떻게,finals.A3R1.humanCentricTag,문제해결적 사고,성찰적 사고,
70,구조(카드·등급·태그),시험 2주 전 — 공부를 어떻게,finals.A3R2.humanCentricAxis,융합하기,성찰하기,
71,구조(카드·등급·태그),시험 2주 전 — 공부를 어떻게,finals.A3R2.humanCentricTag,문제해결적 사고,성찰적 사고,
72,구조(카드·등급·태그),시험 2주 전 — 공부를 어떻게,finals.A3R3.humanCentricAxis,융합하기,성찰하기,
73,구조(카드·등급·태그),시험 2주 전 — 공부를 어떻게,finals.A3R3.humanCentricTag,문제해결적 사고,성찰적 사고,
74,구조(카드·등급·태그),시험 2주 전 — 공부를 어떻게,finals.B3R1.cardEarned,켬(true),끔(false),
75,구조(카드·등급·태그),시험 2주 전 — 공부를 어떻게,finals.B3R1.domainCards,학습력,(없음),
76,구조(카드·등급·태그),시험 2주 전 — 공부를 어떻게,finals.B3R1.humanCentricAxis,융합하기,(빈값),
77,구조(카드·등급·태그),시험 2주 전 — 공부를 어떻게,finals.B3R1.humanCentricTag,문제해결적 사고,(빈값),
78,텍스트,시험 2주 전 — 공부를 어떻게,finals.B3R1.reportReflection,"AI 자료를 그대로 외우지 않고, 실제 문제 풀이로 이해를 확인했다.","AI가 만든 요약과 예상문제는 출발일 뿐, 실제 풀이로 확인해야 내 공부가 된다.",
79,텍스트,시험 2주 전 — 공부를 어떻게,finals.C2R3.item,AI 의존 심화 카드,요약 의존 심화 카드,
80,텍스트,시험 2주 전 — 공부를 어떻게,finals.C3R3.item,AI 최소 계획 카드,최소 계획 카드,
81,텍스트,시험 2주 전 — 공부를 어떻게,reviewSupplements.A1R3,"AI가 오답을 묶어주는 도움은 받았지만, 마지막에는 내가 실제로 이해가 부족한 부분을 확인하고 공부 순서를 고른 계획이 된다.","오답을 직접 모아 보며 실제로 이해가 부족한 부분을 확인하고, 공부 순서를 내가 고른 계획이 된다.",
82,텍스트,시험 2주 전 — 공부를 어떻게,reviewSupplements.A2R3,"AI 설명으로 핵심 개념의 윤곽을 잡고, 실제 문제를 풀어보며 이해 여부를 확인하는 공부 계획이 된다.","범위표로 잡은 윤곽을 실제 문제 풀이로 확인하며, 이해 여부를 점검하는 공부 계획이 된다.",
83,텍스트,시험 2주 전 — 공부를 어떻게,reviewSupplements.A3R3,"AI가 시간 배분을 제안하지만, 내가 실제 일정과 약점을 보고 다시 조정한 공부 계획이 된다.","자신감과 실제 풀이의 차이를 보고, 내 일정과 약점에 맞게 시간을 다시 조정한 공부 계획이 된다.",
84,텍스트,시험 2주 전 — 공부를 어떻게,reviewSupplements.C2R3,"공부할 양은 더 줄어들지만, AI가 만든 예상에 기대면서 실제 범위 확인이 약해지는 공부가 된다.","공부할 양은 더 줄어들지만, 남이 만든 요약과 예상에 기대면서 실제 범위 확인이 약해지는 공부가 된다.",
85,텍스트,시험 2주 전 — 공부를 어떻게,reviewSupplements.C3R3,"AI의 도움으로 부담을 줄인 최소 계획을 만들고, 오늘 바로 시작할 공부 항목 하나를 남긴 시험 준비가 된다.","부담을 줄인 최소 계획을 만들고, 오늘 바로 시작할 공부 항목 하나를 남긴 시험 준비가 된다.",
86,구조(카드·등급·태그),시험 2주 전 — 공부를 어떻게,reviews[2].discountTags.domain,검토력 · 학습력 · 자기이해,검토력 · 학습력 · 자기이해 · 분석력,
