포스터번호,작가,포스터내용,매칭캐릭터
24699,요제프 보이스,감자 껍질을 벗기는 단순한 작업도 의식을 가진 행위라면 예술이 될 수 있다.,환영가(ILLUSIONIST)
24755,제임스 카메론,타고난 재능이 있어도 꿈을 이루지 못하는 사람이 있습니다. 지나치게 망설이거나 신중해서 한계를 넘지 못했기 때문입니다. 꿈을 이룰 때는 과감해야 합니다.,교수(PROFESSOR)
24930,볼프강 아마데우스 모차르트,언어가 끝나는 곳에서 음악은 시작된다.,환영가(ILLUSIONIST)
27543,데이비드 호크니,나는 매일 아이폰으로 꽃을 그려서 친구들에게 보낸다. 그들은 매일 아침 신선한 꽃을 받는다.,치유자(HEALER)
28605,바실리 칸딘스키,색의 계급 체계에서 녹색은 자족하고 부동층이며 한정된 사회주의 중간 계층을 상징한다.,전사(TANKER)
30541,앙리 마티스,"젊은 화가여, 실수를 두려워하지 말아라. 방황한들 어떠리, 한 번 방황할 때마다 성장하는 것을!",치유자(HEALER)
30652,밥 딜런,당신들이 내 음악을 좋아해 준다고 해서 내가 당신에게 뭘 빚진 건 아니다.,전사(TANKER)
31187,추사 김정희,가슴 속에 1만 권의 책이 있어야 그것이 흘러넘쳐 그림과 글씨가 된다.,교수(PROFESSOR)
32455,무라카미 하루키,작가가 되고 나서 거의 매일 달리기를 하고 있어요. 오래 앉아 있어야 하기 때문에 운동을 하지 않으면 몸이 빨리 망가질 거라고 생각했어요. 그렇게 뛰기 시작한 게 35년 전입니다. 저는 소설가가 된 뒤로 더 건강해졌습니다.,교수(PROFESSOR)
32814,박완서,차오를 때까지 기다려야 해요. 취미로 하기에는 글 쓰는 건 힘들어요.,환영가(ILLUSIONIST)
32939,강수진,여기가 끝이라고 이 정도면 됐다고 생각할 때 그 사람의 예술 인생은 거기서 끝나는 것이다.,교수(PROFESSOR)
34642,마크 로스코,그림은 사람과 교감함으로써 존재하는 것이며 감상자에 의해 확장되고 성장합니다. 깊이 몰입해서 자신을 바라보아야 슬픔을 해소할 수 있고 그것이 진정한 예술의 기능입니다.,치유자(HEALER)
34833,요한 볼프강 폰 괴테,꽃을 주는 것은 자연이고 그 꽃을 엮어 화환을 만드는 것은 예술이다.,환영가(ILLUSIONIST)
35263,고든 마타-클라크,내가 건축과 조각에서 가장 좋아하는 차이점 중 하나는 배관의 유무이다.,전사(TANKER)
35893,백남준,예술은 1등을 매기는 것이 아니다. 다른 것을 맛보는 것일 뿐이다.,환영가(ILLUSIONIST)
36572,프리덴슈라이히 훈데르트바서,혼자 꿈을 꾸면 한낱 꿈일 뿐이지만 우리가 모두 함께 꿈을 꾼다면 그것은 새로운 현실의 출발이다.,전사(TANKER)
36853,빅토르 위고,예술을 위한 예술이 아름다울지도 모른다. 그러나 진보를 위한 예술은 더 아름답다.,전사(TANKER)
37542,빈센트 반 고흐,언젠가는 내 그림이 물감값보다 가치 있다는 걸 알아줄 때가 올 것이다.,환영가(ILLUSIONIST)
38346,알베르토 자코메티,"건물에 화재가 나면, 나는 렘브란트의 그림보다 고양이 한 마리를 구하겠다.",전사(TANKER)
39470,공자,모든 것은 제각기 아름다움을 지니고 있으나 모든 이가 그것을 볼 수는 없다.,치유자(HEALER)
40969,로맹 롤랑,태양이 없을 때 그것을 창조하는 것이 예술가의 역할이다.,전사(TANKER)
41814,티나 바니,"연필과 종이를 가지고 앉아서 생각해보라. 너의 삶은 무엇인지, 너는 누구인지. 그것에 대해 생각이 떠오르기 전에는 카메라를 손에 들지 마라.",환영가(ILLUSIONIST)
42049,마르셀 뒤샹,나는 예술을 믿지 않는다. 나는 예술가를 믿는다.,환영가(ILLUSIONIST)
43534,바실리 칸딘스키,예술에서 반드시 해야 하는 것은 없다. 왜냐하면 예술은 자유니까.,환영가(ILLUSIONIST)
44383,조성진,무대에 서는 일은 내게 휴가나 다름없다. 연주회 전에 연습하는 과정이 너무 힘들기 때문이다.,교수(PROFESSOR)
44431,이중섭,예술은 진실의 힘이 비바람을 이긴 기록이다.,전사(TANKER)
45720,장 콕토,예술이 만드는 추한 것들은 종종 시간이 흐르면서 아름다워진다.,치유자(HEALER)
46566,오노레 드 발자크,사람의 얼굴은 하나의 풍경이다. 한 권의 책이다. 얼굴은 결코 거짓말을 하지 않는다.,치유자(HEALER)
47746,바실리 칸딘스키,"나는 마음 가는대로 내버려 두었다. 화폭 위에 팔레트, 나이프로 선과 반점을 칠하면서도 집이나 나무를 그릴 생각은 별로 없었다. 그저 이것들을 내가 할 수 있는 힘차게 노래 부르도록 했을 뿐이다.",환영가(ILLUSIONIST)
49074,랄프 왈도 에머슨,위대한 예술가도 처음에는 아마추어였다.,치유자(HEALER)
49172,요한 볼프강 폰 괴테,세상에서 해방되려면 예술보다 좋은 것이 없다. 세상과 확실하게 관계 맺을 때도 예술을 통하는 것이 좋다.,교수(PROFESSOR)
49476,척 클로스,영감은 아마추어를 위한 것이다. 우리는 단지 일어나서 일을 하러 간다.,교수(PROFESSOR)
51074,앤디 워홀,살아있다는 것 자체가 늘 하고 싶지 않은 일에 공들이는 것이라 생각한다.,교수(PROFESSOR)
52003,요한 볼프강 폰 괴테,괴로움이 남기고 간 것을 맛보라. 고난도 지나면 감미롭다.,치유자(HEALER)
52799,로이 리히텐슈타인,오늘날 예술은 우리 주위에 있다.,환영가(ILLUSIONIST)
53895,조수미,성공의 비밀은 자신감이고 자신감의 비밀은 엄청난 준비다.,교수(PROFESSOR)
54401,마우리츠 에셔,"내 일은 게임, 그것도 아주 중요한 게임이다.",전사(TANKER)
55157,미켈란젤로,남의 뒤를 따라가서는 결코 진전할 수 없다.,교수(PROFESSOR)
56529,티에리 에르메스,나는 혁신과 전통 가치의 균형을 맞추려 노력한다. 아무것도 바꾸지 않기 위해 모든 걸 바꾼다.,전사(TANKER)
56774,호안 미로,나에게는 소작농들이 수프를 담아 먹는 그릇이 부자들이 쓰는 터무니없이 비싼 그릇보다 더 흥미롭다.,전사(TANKER)
56910,장 프랑수아 밀레,다른 사람을 감동시키려면 먼저 내가 감동해야 한다.,교수(PROFESSOR)
58472,르네 마그리트,인생은 내게 무언가 하게 만든다. 그래서 나는 그림을 그린다.,교수(PROFESSOR)
58543,알렉산드르 솔제니친,위대한 작가는 제2의 정부다. 따라서 어떤 정권도 위대한 작가를 좋아하지 않는다.,전사(TANKER)
59506,요한 볼프강 폰 괴테,대중의 시중을 드는 자는 가련한 동물이다.,전사(TANKER)
60423,요한 볼프강 폰 괴테,"당신이 할 수 있거나 할 수 있다고 꿈꾸는 그 모든 일을 시작하라. 새로운 일을 시작하는 용기 속에 당신의 천재성과 능력, 그리고 기적이 모두 숨어 있다.",치유자(HEALER)
61097,트레이시 에민,나에게 에곤 실레는 한 번도 죽은 사람인 적이 없었다. 누군가가 살아서 움직이지 않는다고 해서 그 사람이 실존하지 않는 것은 아니다.,치유자(HEALER)
62584,무라카미 하루키,높고 단단한 벽과 그것에 부딪쳐 깨진 달걀 사이에서 나는 언제나 계란 쪽에 서겠다.,전사(TANKER)
63546,요한 볼프강 폰 괴테,나 혼자 천국에 사는 것보다 더 큰 형벌은 없다.,교수(PROFESSOR)
65668,로버트 메이플소프,나에게 중요한 건 결과물로 얻어지는 사진들보다 내가 찍은 사람들과 맺는 관계이다.,치유자(HEALER)
67844,박경리,작가가 작품을 쓰고 나면 그만이지. 기자들 불러서 왜 떠들어. 기자한테 얘기할 게 남아 있다는 건 작품에 제대로 못 썼다는 거 아닌가?,전사(TANKER)
68483,살바도르 달리,그림이란 숱한 비합리적 상상력에 의해 만들어지는 천연색 사진이다.,환영가(ILLUSIONIST)
68846,마르셀 프루스트,진정한 발견은 새로운 것을 찾는 것이 아니라 새로운 눈으로 보는 것이다.,교수(PROFESSOR)
68927,오귀스트 로댕,감동하고 사랑하며 요동치고 살아라.,치유자(HEALER)
69061,잭슨 폴록,갤러리는 이제 그만! 내가 직접 그림을 팔겠다. 아니면 소유하거나. 어느 쪽이든 상관없다.,전사(TANKER)
69305,레오나르도 다 빈치,직접 시도해보는 것은 큰 감명을 준다. 아는 것을 넘어서 적용해 봐야 하고 의지를 넘어서 직접 행동해야만 한다.,교수(PROFESSOR)
70389,밥 딜런,이 나라는 당신의 것이기도 하고 나의 것이기도 하다. 하지만 이 세상은 음악을 듣지 않는 사람들에 의해 돌아간다.,전사(TANKER)
71293,봉준호,사회성이 좋으면 결핍이 없어 생각할 시간이 줄어든다. 혼자서 변태적으로 관찰하는 것을 좋아한다.,전사(TANKER)
71667,박완서,"문학이란 게 본래 그런 것이 아니겠어요. 본질적으로 억압받는다든가 서러운 계층, 그늘에 가려진 층에 대한 애정을 쏟는 게 당연한 것 아니겠어요.",전사(TANKER)
72112,박경리,"작가는 인간으로부터 출발해야 해. 인간의 본질, 인류의 운명을 고민하는 게 작가가 가는 길이야.",교수(PROFESSOR)
72395,앤디 워홀,나는 토지를 소유하고 그것을 망치지 않는 것이 모두가 소유하고 싶어하는 가장 아름다운 예술이라고 생각한다.,교수(PROFESSOR)
72769,마르크 샤갈,"침실 창문만 열었는데 푸른 공기, 사랑, 꽃들이 그녀와 함께 들어왔습니다.",치유자(HEALER)
73627,외젠 들라크루아,모든 것을 완벽하게 하는 것을 목표로 한다면 예술가는 아무것도 이루지 못한다.,교수(PROFESSOR)
77854,제임스 딘,좋은 배우가 되는 것은 쉬운 일이 아니다. 인간이 되는 것은 더 어렵다. 나는 죽기 전에 두 가지 다 이루고 싶다.,교수(PROFESSOR)
78559,요한 제바스티안 바흐,모닝 커피가 없으면 나는 그저 말린 염소 고기에 불과하다.,환영가(ILLUSIONIST)
78756,가브리엘 샤넬,"패션은 드레스에만 존재하는 것이 아니다. 패션은 하늘과 길거리에도 있으며 우리의 생각과 삶, 그리고 지금 일어나고 있는 모든 일과 밀접한 관계가 있다.",교수(PROFESSOR)
80172,김환기,"예술은 학설이 아니다. 하늘과 산, 그리고 돌처럼 그냥 존재하는 것이다.",환영가(ILLUSIONIST)
80385,도로시아 태닝,당신은 여성이고 예술가일지 모른다. 그러나 전자는 주어진 것이고 후자는 이룬 것이다.,교수(PROFESSOR)
81635,칼 안드레,모든 위대한 길들이 거장들에 의해 가로막히면 당신에게는 좋은 일이다. 당신만의 작은 길모퉁이를 찾아야만 하기 때문이다.,교수(PROFESSOR)
81939,앙리 카르티에 브레송,평생 결정적 순간을 찍으려 발버둥 쳤으나 삶의 모든 순간이 결정적 순간이었다.,치유자(HEALER)
82913,밥 딜런,시는 벌거벗은 인간이다.,환영가(ILLUSIONIST)
83864,레오나르도 다 빈치,영혼과 손이 함께 작업하지 않으면 예술이 탄생할 수 없다.,환영가(ILLUSIONIST)
84591,프랑수아 트뤼포,영화를 사랑하는 첫 단계는 한 영화를 2번 보는 것이다. 두 번째는 영화에 대한 글을 쓰는 것이고 세 번째는 영화를 만드는 것이다. 그 이상은 없다.,환영가(ILLUSIONIST)
85014,박찬욱,후에 투자받기 어려워지면 어떻게 될지 장담할 수는 없지만 지금으로서는 그래요. 관습적인 것은 금지.,전사(TANKER)
85037,마크 로스코,"제가 젊었을 때, 예술은 외로웠습니다. 갤러리, 수집가, 비평가 모두 돈이 없었습니다. 그러나 그때가 황금시대였습니다.",환영가(ILLUSIONIST)
85807,크리스티앙 디오르,모든 아름다움의 비밀은 열정이다. 열정 없이는 그 어떤 아름다움도 있을 수 없다.,교수(PROFESSOR)
87057,박완서,자꾸 자기 작품을 고치는 작가도 있지만 그것도 성격인 것 같아요. 그대로 남겨두고 싶은 마음이 있더라구요.,교수(PROFESSOR)
90001,헨드릭 릴랑가,사람들이 매일 다른 색의 옷을 입듯이 사람의 마음은 어제 다르고 오늘 다르다. 어떤 색의 옷을 입는다는 것은 결국 자신의 마음을 드러내는 퍼포먼스다. 매일 변하는 것이 사람의 마음이듯 다양한 피부색은 하루하루 새롭게 살자는 의미를 담고 있다.,치유자(HEALER)
90002,에드워드 사이디 팅가팅가,삶은 구름과도 같은 것,치유자(HEALER)
90003,월레 소잉카,나는 나 자신이어야 합니다. 궁극적으로 나 자신이어야 합니다.,치유자(HEALER)
90004,루쉰,가급적 빨리 매장하라. 나에 대해서는 얼른 잊고 당신들이나 열심히 살아가라.,전사(TANKER)
90005,위화,사람의 미덕이라고 하면 동정심이나 연민이지 않을까 싶다. 동정과 연민은 아주 중요한 가치다.,치유자(HEALER)
90006,나혜석,지금 생각건대 내게서 가정의 행복을 가져간 자는 내 예술이 아닌가 싶습니다. 그러나 이 예술이 없고는 감정을 행복하게 해 줄 아무것도 없었던 까닭입니다.,환영가(ILLUSIONIST)
90007,어니스트 헤밍웨이,세상은 멋진 곳이다. 그렇기에 충분히 싸울 가치가 있다.,치유자(HEALER)
90008,콘스탄틴 브랑쿠시,지금 이 순간 당신의 모습이 제일 좋다.,치유자(HEALER)
90009,앨리스 닐,모든 경험은 당신이 그것을 겪어냄으로써 위대해진다.,치유자(HEALER)
90010,메리 켈리,우회해서 가는 길이 곧게 뻗은 길보다 항상 더 흥미롭다.,치유자(HEALER)
90011,오드리 헵번,"나는 자주 혼자 있어야 한다. 토요일부터 월요일까지, 내 아파트에 혼자 머물 때, 나는 행복하다. 이것이 내가 회복하는 방법이다.",치유자(HEALER)
90012,스티븐 스필버그,인간은 배고프지 않을 때도 사냥하는 지구상 유일한 동물이다.,전사(TANKER)
90013,스티븐 스필버그,나는 희망을 밤이나 낮이나 품어둔다. 그러기에 그 희망은 현실로 이어진다.,치유자(HEALER)
90014,아리스토텔레스,약간의 광기도 없는 위대한 천재란 있을 수 없다.,환영가(ILLUSIONIST)
91216,앤디 워홀,예술가는 사람들이 가질 필요가 없는 것을 생산하는 사람이다.,환영가(ILLUSIONIST)
91396,레오나르도 다 빈치,성공한 사람들은 뒤에 물러앉아 일이 일어나기만 기다리지 않는다는 것을 오래전부터 알고 있었다. 그들은 밖으로 나가 일을 만들어낸다.,전사(TANKER)
92302,장 미쉘 바스키아,나는 어렸을 때 진짜 형편없는 예술가였다. 한 번도 미술대회에 나가서 상을 타본 적이 없었다. 나는 대회에서 스파이더맨을 완벽하게 그렸던 아이에게 진 기억이 있다.,환영가(ILLUSIONIST)
92591,표트르 일리치 차이콥스키,"가장 훌륭한 천재조차도 최고, 아니 평균조차 미치지 못한다. 일에 미쳐있지 않다면.",교수(PROFESSOR)
92881,루트비히 판 베토벤,예술! 누가 그녀를 알 수 있을까? 누구와 더불어 이 위대한 여신에 대해 의견을 나눌 수 있을까?,환영가(ILLUSIONIST)
96186,생텍쥐페리,당신이 배를 만들고 싶다면 시람들에게 저 넓고 끝없는 바다에 대한 동경심을 키워줘라.,치유자(HEALER)
98977,장 폴 사르트르,작가는 스스로 제도화되기를 거부해야 한다.,전사(TANKER)
99122,클로드 모네,나는 우주가 내 앞에 펼쳐 보이는 광경을 관찰하고 붓이 그것을 증언하도록 했을 뿐이다.,환영가(ILLUSIONIST)
99207,닉 나이트,삶은 아마도 우리가 만들어낸 실수들로 더 나아지고 있는 것이다.,치유자(HEALER)
99221,파블로 피카소,슬픔과 고통을 거쳐야 예술이 된다.,치유자(HEALER)
