scenario_id,leaf,tier1,tier2,review,t2_delegation_label,t2_delegation_delta,raw_time,raw_energy,mult_time,mult_energy,discount_time_위+3,discount_energy_도+3,discount_time_위-3,discount_energy_도-3
groupwork,A1R2,A,A1,R2,++,2,103,91,62,55,56,49,68,61
groupwork,A1R3,A,A1,R3,++,2,120,100,72,60,66,54,78,66
groupwork,A2R1,A,A2,R1,+,1,70,60,42,36,36,30,48,42
groupwork,A2R2,A,A2,R2,+,1,78,66,47,40,41,34,53,46
groupwork,A2R3,A,A2,R3,+,1,95,78,57,47,51,41,63,53
groupwork,A3R1,A,A3,R1,0,0,50,42,30,25,24,19,36,31
groupwork,A3R2,A,A3,R2,0,0,58,48,35,29,29,23,41,35
groupwork,A3R3,A,A3,R3,0,0,75,60,45,36,39,30,51,42
groupwork,B1R1,B,B1,R1,--,-2,30,15,18,9,12,3,24,15
groupwork,B1R2,B,B1,R2,--,-2,38,21,23,13,17,7,29,19
groupwork,B1R3,B,B1,R3,--,-2,55,33,33,20,27,14,39,26
groupwork,B2R1,B,B2,R1,0,0,45,30,27,18,21,12,33,24
groupwork,B2R2,B,B2,R2,0,0,53,36,32,22,26,16,38,28
groupwork,B2R3,B,B2,R3,0,0,70,48,42,29,36,23,48,35
groupwork,B3R1,B,B3,R1,+,1,55,45,33,27,27,21,39,33
groupwork,B3R2,B,B3,R2,+,1,63,51,38,31,32,25,44,37
groupwork,B3R3,B,B3,R3,+,1,80,63,48,38,42,32,54,44
groupwork,C1R1,C,C1,R1,-,-1,35,25,21,15,15,9,27,21
groupwork,C1R2,C,C1,R2,-,-1,43,31,26,19,20,13,32,25
groupwork,C1R3,C,C1,R3,-,-1,60,43,36,26,30,20,42,32
groupwork,C2R1,C,C2,R1,-,-1,40,28,24,17,18,11,30,23
groupwork,C2R2,C,C2,R2,-,-1,48,34,29,20,23,14,35,26
groupwork,C2R3,C,C2,R3,-,-1,65,46,39,28,33,22,45,34
groupwork,C3R1,C,C3,R1,--,-2,20,15,12,9,6,3,18,15
groupwork,C3R2,C,C3,R2,--,-2,28,21,17,13,11,7,23,19
groupwork,C3R3,C,C3,R3,--,-2,45,33,27,20,21,14,33,26
eorinwangja,A1R1,A,A1,R1,++,2,90,80,54,48,48,42,60,54
eorinwangja,A1R2,A,A1,R2,++,2,95,85,57,51,51,45,63,57
eorinwangja,A1R3,A,A1,R3,++,2,100,90,60,54,54,48,66,60
eorinwangja,A2R1,A,A2,R1,+,1,70,60,42,36,36,30,48,42
eorinwangja,A2R2,A,A2,R2,+,1,75,65,45,39,39,33,51,45
eorinwangja,A2R3,A,A2,R3,+,1,80,70,48,42,42,36,54,48
eorinwangja,A3R1,A,A3,R1,0,0,50,40,30,24,24,18,36,30
eorinwangja,A3R2,A,A3,R2,0,0,55,45,33,27,27,21,39,33
eorinwangja,A3R3,A,A3,R3,0,0,60,50,36,30,30,24,42,36
eorinwangja,B1R1,B,B1,R1,--,-2,30,15,18,9,12,3,24,15
eorinwangja,B1R2,B,B1,R2,--,-2,40,25,24,15,18,9,30,21
eorinwangja,B1R3,B,B1,R3,--,-2,55,45,33,27,27,21,39,33
eorinwangja,B2R1,B,B2,R1,0,0,25,10,15,6,9,0,21,12
eorinwangja,B2R2,B,B2,R2,0,0,35,20,21,12,15,6,27,18
eorinwangja,B2R3,B,B2,R3,0,0,50,40,30,24,24,18,36,30
eorinwangja,B3R1,B,B3,R1,+,1,15,5,9,3,3,0,15,9
eorinwangja,B3R2,B,B3,R2,+,1,25,15,15,9,9,3,21,15
eorinwangja,B3R3,B,B3,R3,+,1,40,35,24,21,18,15,30,27
eorinwangja,C1R1,C,C1,R1,-,-1,40,30,24,18,18,12,30,24
eorinwangja,C1R2,C,C1,R2,-,-1,50,40,30,24,24,18,36,30
eorinwangja,C1R3,C,C1,R3,-,-1,65,55,39,33,33,27,45,39
eorinwangja,C2R1,C,C2,R1,-,-1,25,15,15,9,9,3,21,15
eorinwangja,C2R2,C,C2,R2,-,-1,35,25,21,15,15,9,27,21
eorinwangja,C2R3,C,C2,R3,-,-1,50,40,30,24,24,18,36,30
eorinwangja,C3R1,C,C3,R1,--,-2,10,5,6,3,0,0,12,9
eorinwangja,C3R2,C,C3,R2,--,-2,20,10,12,6,6,0,18,12
eorinwangja,C3R3,C,C3,R3,--,-2,35,25,21,15,15,9,27,21
career,A1R1,A,A1,R1,++,2,100,90,60,54,54,48,66,60
career,A1R2,A,A1,R2,++,2,108,96,65,58,59,52,71,64
career,A1R3,A,A1,R3,++,2,125,108,75,65,69,59,81,71
career,A2R1,A,A2,R1,+,1,70,58,42,35,36,29,48,41
career,A2R2,A,A2,R2,+,1,78,64,47,38,41,32,53,44
career,A2R3,A,A2,R3,+,1,95,76,57,46,51,40,63,52
career,A3R1,A,A3,R1,0,0,45,38,27,23,21,17,33,29
career,A3R2,A,A3,R2,0,0,53,44,32,26,26,20,38,32
career,A3R3,A,A3,R3,0,0,70,56,42,34,36,28,48,40
career,B1R1,B,B1,R1,--,-2,30,15,18,9,12,3,24,15
career,B1R2,B,B1,R2,--,-2,38,21,23,13,17,7,29,19
career,B1R3,B,B1,R3,--,-2,55,33,33,20,27,14,39,26
career,B2R1,B,B2,R1,0,0,45,30,27,18,21,12,33,24
career,B2R2,B,B2,R2,0,0,53,36,32,22,26,16,38,28
career,B2R3,B,B2,R3,0,0,70,48,42,29,36,23,48,35
career,B3R1,B,B3,R1,+,1,55,42,33,25,27,19,39,31
career,B3R2,B,B3,R2,+,1,63,48,38,29,32,23,44,35
career,B3R3,B,B3,R3,+,1,80,60,48,36,42,30,54,42
career,C1R1,C,C1,R1,-,-1,35,25,21,15,15,9,27,21
career,C1R2,C,C1,R2,-,-1,43,31,26,19,20,13,32,25
career,C1R3,C,C1,R3,-,-1,60,43,36,26,30,20,42,32
career,C2R1,C,C2,R1,-,-1,32,26,19,16,13,10,25,22
career,C2R2,C,C2,R2,-,-1,40,32,24,19,18,13,30,25
career,C2R3,C,C2,R3,-,-1,58,45,35,27,29,21,41,33
career,C3R1,C,C3,R1,--,-2,15,10,9,6,3,0,15,12
career,C3R2,C,C3,R2,--,-2,23,16,14,10,8,4,20,16
career,C3R3,C,C3,R3,--,-2,40,28,24,17,18,11,30,23
studyplan,A1R1,A,A1,R1,++,2,100,90,60,54,54,48,66,60
studyplan,A1R2,A,A1,R2,++,2,108,96,65,58,59,52,71,64
studyplan,A1R3,A,A1,R3,++,2,125,108,75,65,69,59,81,71
studyplan,A2R1,A,A2,R1,+,1,75,62,45,37,39,31,51,43
studyplan,A2R2,A,A2,R2,+,1,83,68,50,41,44,35,56,47
studyplan,A2R3,A,A2,R3,+,1,100,80,60,48,54,42,66,54
studyplan,A3R1,A,A3,R1,0,0,50,40,30,24,24,18,36,30
studyplan,A3R2,A,A3,R2,0,0,58,46,35,28,29,22,41,34
studyplan,A3R3,A,A3,R3,0,0,75,58,45,35,39,29,51,41
studyplan,B1R1,B,B1,R1,--,-2,30,15,18,9,12,3,24,15
studyplan,B1R2,B,B1,R2,--,-2,38,21,23,13,17,7,29,19
studyplan,B1R3,B,B1,R3,--,-2,55,33,33,20,27,14,39,26
studyplan,B2R1,B,B2,R1,0,0,45,30,27,18,21,12,33,24
studyplan,B2R2,B,B2,R2,0,0,53,36,32,22,26,16,38,28
studyplan,B2R3,B,B2,R3,0,0,70,48,42,29,36,23,48,35
studyplan,B3R1,B,B3,R1,+,1,60,48,36,29,30,23,42,35
studyplan,B3R2,B,B3,R2,+,1,68,54,41,32,35,26,47,38
studyplan,B3R3,B,B3,R3,+,1,85,66,51,40,45,34,57,46
studyplan,C1R1,C,C1,R1,-,-1,35,25,21,15,15,9,27,21
studyplan,C1R2,C,C1,R2,-,-1,43,31,26,19,20,13,32,25
studyplan,C1R3,C,C1,R3,-,-1,60,43,36,26,30,20,42,32
studyplan,C2R1,C,C2,R1,-,-1,45,30,27,18,21,12,33,24
studyplan,C2R2,C,C2,R2,-,-1,53,36,32,22,26,16,38,28
studyplan,C2R3,C,C2,R3,-,-1,70,48,42,29,36,23,48,35
studyplan,C3R1,C,C3,R1,--,-2,15,10,9,6,3,0,15,12
studyplan,C3R2,C,C3,R2,--,-2,23,16,14,10,8,4,20,16
studyplan,C3R3,C,C3,R3,--,-2,40,28,24,17,18,11,30,23
