시나리오,경로,1차 위임종류,2차 위임종류(보정),검토 깊이,최종점수(verdict),등급,단계합(참고),시간비용합,에너지비용합,1차점수,2차점수,검토점수,최종 위임변화,최종 지식변화
어린왕자독후감,C2R1,전체 위임,전체 위임,R1 무검토(○),25,D,43,8,6,18,15,10,-,-
어린왕자독후감,C2R2,전체 위임,전체 위임,R2 표면검토(◐),38,D,51,11,9,18,15,18,-,-
어린왕자독후감,C2R3,전체 위임,전체 위임,R3 깊은검토(●),52,D,63,16,13,18,15,30,-,-
어린왕자독후감,C3R1,전체 위임,전체 위임,R1 무검토(○),18,D,53,8,6,18,25,10,-,-
어린왕자독후감,C3R2,전체 위임,전체 위임,R2 표면검토(◐),30,D,61,11,9,18,25,18,-,-
어린왕자독후감,C3R3,전체 위임,전체 위임,R3 깊은검토(●),42,D,73,16,13,18,25,30,-,-
AI시대진로,A1R1,내가 직접,내가 직접,R1 무검토(○),84,B,70,16,13,25,35,10,+,++
AI시대진로,A1R2,내가 직접,내가 직접,R2 표면검토(◐),90,A,78,19,16,25,35,18,+,++
AI시대진로,A1R3,내가 직접,내가 직접,R3 깊은검토(●),96,S,90,24,20,25,35,30,+,++
AI시대진로,A2R1,내가 직접,내가 직접,R1 무검토(○),80,B,57,15,12,25,22,10,+,++
AI시대진로,A2R2,내가 직접,내가 직접,R2 표면검토(◐),87,A,65,18,15,25,22,18,+,++
AI시대진로,A2R3,내가 직접,내가 직접,R3 깊은검토(●),94,A,77,23,19,25,22,30,+,++
AI시대진로,A3R1,내가 직접,내가 직접(→직접쪽),R1 무검토(○),86,A,45,18,15,25,10,10,++,++
AI시대진로,A3R2,내가 직접,내가 직접(→직접쪽),R2 표면검토(◐),92,A,53,21,18,25,10,18,++,++
AI시대진로,A3R3,내가 직접,내가 직접(→직접쪽),R3 깊은검토(●),98,S,65,26,22,25,10,30,++,++
AI시대진로,B1R1,부분 위임,부분 위임(→위임쪽),R1 무검토(○),20,D,20,6,4,10,0,10,-,0
AI시대진로,B1R2,부분 위임,부분 위임(→위임쪽),R2 표면검토(◐),38,D,28,9,7,10,0,18,-,0
AI시대진로,B1R3,부분 위임,부분 위임(→위임쪽),R3 깊은검토(●),55,D,40,14,11,10,0,30,-,0
AI시대진로,B2R1,부분 위임,부분 위임(→직접쪽),R1 무검토(○),68,C,35,10,7,10,15,10,+,+
AI시대진로,B2R2,부분 위임,부분 위임(→직접쪽),R2 표면검토(◐),80,B,43,13,10,10,15,18,+,+
AI시대진로,B2R3,부분 위임,부분 위임(→직접쪽),R3 깊은검토(●),90,A,55,18,14,10,15,30,+,+
AI시대진로,B3R1,부분 위임,부분 위임(→직접쪽),R1 무검토(○),78,B,55,12,9,10,35,10,++,+
AI시대진로,B3R2,부분 위임,부분 위임(→직접쪽),R2 표면검토(◐),86,A,63,15,12,10,35,18,++,+
AI시대진로,B3R3,부분 위임,부분 위임(→직접쪽),R3 깊은검토(●),95,S,75,20,16,10,35,30,++,+
AI시대진로,C1R1,전체 위임,전체 위임,R1 무검토(○),30,D,28,12,9,18,0,10,-,-
AI시대진로,C1R2,전체 위임,전체 위임,R2 표면검토(◐),45,D,36,15,12,18,0,18,-,-
AI시대진로,C1R3,전체 위임,전체 위임,R3 깊은검토(●),60,C,48,20,16,18,0,30,-,-
AI시대진로,C2R1,전체 위임,전체 위임(→위임쪽),R1 무검토(○),38,D,43,10,8,18,15,10,0,-
AI시대진로,C2R2,전체 위임,전체 위임(→위임쪽),R2 표면검토(◐),55,D,51,13,11,18,15,18,0,-
AI시대진로,C2R3,전체 위임,전체 위임(→위임쪽),R3 깊은검토(●),68,C,63,18,15,18,15,30,0,-
AI시대진로,C3R1,전체 위임,전체 위임,R1 무검토(○),40,D,38,11,9,18,10,10,0,-
AI시대진로,C3R2,전체 위임,전체 위임,R2 표면검토(◐),56,D,46,14,12,18,10,18,0,-
AI시대진로,C3R3,전체 위임,전체 위임,R3 깊은검토(●),70,C,58,19,16,18,10,30,0,-
시험2주전공부,A1R1,내가 직접,내가 직접(→직접쪽),R1 무검토(○),80,B,70,19,16,25,35,10,+,++
시험2주전공부,A1R2,내가 직접,내가 직접(→직접쪽),R2 표면검토(◐),88,A,78,22,19,25,35,18,+,++
시험2주전공부,A1R3,내가 직접,내가 직접(→직접쪽),R3 깊은검토(●),97,S,90,27,23,25,35,30,+,++
시험2주전공부,A2R1,내가 직접,내가 직접,R1 무검토(○),76,B,57,16,13,25,22,10,+,++
시험2주전공부,A2R2,내가 직접,내가 직접,R2 표면검토(◐),84,B,65,19,16,25,22,18,+,++
시험2주전공부,A2R3,내가 직접,내가 직접,R3 깊은검토(●),92,A,77,24,20,25,22,30,+,++
시험2주전공부,A3R1,내가 직접,내가 직접(→직접쪽),R1 무검토(○),78,B,45,18,15,25,10,10,++,++
시험2주전공부,A3R2,내가 직접,내가 직접(→직접쪽),R2 표면검토(◐),86,A,53,21,18,25,10,18,++,++
시험2주전공부,A3R3,내가 직접,내가 직접(→직접쪽),R3 깊은검토(●),96,S,65,26,22,25,10,30,++,++
시험2주전공부,B1R1,부분 위임,부분 위임(→위임쪽),R1 무검토(○),28,D,20,6,4,10,0,10,-,0
시험2주전공부,B1R2,부분 위임,부분 위임(→위임쪽),R2 표면검토(◐),45,D,28,9,7,10,0,18,-,0
시험2주전공부,B1R3,부분 위임,부분 위임(→위임쪽),R3 깊은검토(●),58,D,40,14,11,10,0,30,-,0
시험2주전공부,B2R1,부분 위임,부분 위임(→직접쪽),R1 무검토(○),62,C,35,10,8,10,15,10,+,+
시험2주전공부,B2R2,부분 위임,부분 위임(→직접쪽),R2 표면검토(◐),76,B,43,13,11,10,15,18,+,+
시험2주전공부,B2R3,부분 위임,부분 위임(→직접쪽),R3 깊은검토(●),88,A,55,18,15,10,15,30,+,+
시험2주전공부,B3R1,부분 위임,부분 위임(→위임쪽),R1 무검토(○),68,C,55,12,10,10,35,10,++,+
시험2주전공부,B3R2,부분 위임,부분 위임(→위임쪽),R2 표면검토(◐),80,B,63,15,13,10,35,18,++,+
시험2주전공부,B3R3,부분 위임,부분 위임(→위임쪽),R3 깊은검토(●),90,A,75,20,17,10,35,30,++,+
시험2주전공부,C1R1,전체 위임,전체 위임(→위임쪽),R1 무검토(○),20,D,20,9,7,10,0,10,-,-
시험2주전공부,C1R2,전체 위임,전체 위임(→위임쪽),R2 표면검토(◐),32,D,28,12,10,10,0,18,-,-
시험2주전공부,C1R3,전체 위임,전체 위임(→위임쪽),R3 깊은검토(●),45,D,40,17,14,10,0,30,-,-
시험2주전공부,C2R1,전체 위임,전체 위임,R1 무검토(○),35,D,30,12,9,10,10,10,0,-
시험2주전공부,C2R2,전체 위임,전체 위임,R2 표면검토(◐),50,D,38,15,12,10,10,18,0,-
시험2주전공부,C2R3,전체 위임,전체 위임,R3 깊은검토(●),62,C,50,20,16,10,10,30,0,-
시험2주전공부,C3R1,전체 위임,전체 위임,R1 무검토(○),18,D,20,7,5,10,0,10,-,-
시험2주전공부,C3R2,전체 위임,전체 위임,R2 표면검토(◐),28,D,28,10,8,10,0,18,-,-
시험2주전공부,C3R3,전체 위임,전체 위임,R3 깊은검토(●),42,D,40,15,12,10,0,30,-,-
