시나리오,비트,ID,위임종류,선택 라벨,기본점수,변동점수,점수합(단계),시간비용,에너지비용,할인_인간중심축,할인_도메인카드(★강함),위임변화,지식변화
AI시대진로,1차 선택,A,내가 직접,내가 끌리는 것과 걱정하는 것부터 찾아본다,10,15,25,0(면제),0(면제),중심잡기,자기이해 / 탐색력,+,+
AI시대진로,1차 선택,B,부분 위임,AI로 가능성을 넓혀본다,10,0,10,0(면제),0(면제),중심잡기,탐색력 / 분석력,0,-
AI시대진로,1차 선택,C,전체 위임,사람들이 좋다고 말하는 길을 먼저 찾아본다,10,8,18,0(면제),0(면제),성찰하기,자료판단력 / 분석력,-,0
AI시대진로,2차 더깊은선택,A1,내가 직접,내가 자주 보는 것과 좋아하는 것을 적어본다,10,25,35,14,12,중심잡기,★자기이해 / 탐색력,·/·/· (A/B/C경로별),·/·/· (A/B/C경로별)
AI시대진로,2차 더깊은선택,A2,내가 직접,AI 시대에 내가 걱정하는 말을 적어본다,10,12,22,13,11,중심잡기,★자기이해 / 분석력,·/·/· (A/B/C경로별),·/·/· (A/B/C경로별)
AI시대진로,2차 더깊은선택,A3,내가 직접(→직접쪽),관심을 작은 실험으로 바꿔본다,10,0,10,16,14,융합하기,★탐색력,·/·/· (A/B/C경로별),·/·/· (A/B/C경로별)
AI시대진로,2차 더깊은선택,B1,부분 위임(→위임쪽),AI에게 앞으로 유망한 일을 추천받는다,10,-10,0,4,3,중심잡기,★분석력 / 탐색력,·/·/· (A/B/C경로별),·/·/· (A/B/C경로별)
AI시대진로,2차 더깊은선택,B2,부분 위임(→직접쪽),AI에게 내 관심으로 만들 수 있는 새 일을 제안받는다,10,5,15,8,6,융합하기,★탐색력 / 분석력,·/·/· (A/B/C경로별),·/·/· (A/B/C경로별)
AI시대진로,2차 더깊은선택,B3,부분 위임(→직접쪽),AI로 작은 결과물을 만들어보고 진로를 생각한다,10,25,35,10,8,융합하기,★탐색력 / 표현력,·/·/· (A/B/C경로별),·/·/· (A/B/C경로별)
AI시대진로,2차 더깊은선택,C1,전체 위임,유튜브나 뉴스에서 본 유망한 길을 찾아본다,10,-10,0,10,8,성찰하기,★자료판단력 / 분석력,·/·/· (A/B/C경로별),·/·/· (A/B/C경로별)
AI시대진로,2차 더깊은선택,C2,전체 위임(→위임쪽),"부모님, 친구, 선생님이 좋다고 한 길을 따라본다",10,5,15,8,7,성찰하기,★자기이해 / 분석력,·/·/· (A/B/C경로별),·/·/· (A/B/C경로별)
AI시대진로,2차 더깊은선택,C3,전체 위임,"인기 학과나 자격증, 안정적인 길을 먼저 찾아본다",10,0,10,9,8,융합하기,★탐색력 / 분석력,·/·/· (A/B/C경로별),·/·/· (A/B/C경로별)
AI시대진로,검토,R1,R1 무검토(○),나온 추천을 그대로 정리한다,,,10,2,1,,,,(검토 지식변화는 경로별 finals)
AI시대진로,검토,R2,R2 표면검토(◐),낯선 직업 이름과 이상한 정보만 확인한다,,,18,5,4,성찰하기,검토력 / ★자료판단력 / 분석력,,(검토 지식변화는 경로별 finals)
AI시대진로,검토,R3,R3 깊은검토(●),"내 관심, 걱정, 실제 해볼 활동과 이어지는지 다시 본다",,,30,10,8,성찰하기,★검토력 / 자기이해 / 탐색력 / 분석력,,(검토 지식변화는 경로별 finals)
시험2주전공부,1차 선택,A,내가 직접,먼저 내 실력을 확인한다,10,15,25,0(면제),0(면제),중심잡기,학습력 / 자기이해,+,+
시험2주전공부,1차 선택,B,부분 위임,AI로 시험공부를 도와보게 한다,10,0,10,0(면제),0(면제),중심잡기,학습력,0,-
시험2주전공부,1차 선택,C,전체 위임,공부한 느낌이 드는 쉬운 방법에서 시작한다,10,0,10,0(면제),0(면제),성찰하기,검토력 / 학습력,-,0
시험2주전공부,2차 더깊은선택,A1,내가 직접(→직접쪽),문제를 조금 풀어보고 약한 단원을 찾는다,10,25,35,17,15,융합하기,★학습력 / 자기이해,·/·/· (A/B/C경로별),·/·/· (A/B/C경로별)
시험2주전공부,2차 더깊은선택,A2,내가 직접,시험 범위표를 보며 아는 단원과 모르는 단원을 나눈다,10,12,22,14,12,중심잡기,학습력 / ★자료판단력,·/·/· (A/B/C경로별),·/·/· (A/B/C경로별)
시험2주전공부,2차 더깊은선택,A3,내가 직접(→직접쪽),과목별 자신감과 실제 문제 풀이를 비교한다,10,0,10,16,14,성찰하기,학습력 / ★자기이해,·/·/· (A/B/C경로별),·/·/· (A/B/C경로별)
시험2주전공부,2차 더깊은선택,B1,부분 위임(→위임쪽),AI에게 2주 공부 계획표를 만들어 달라고 한다,10,-10,0,4,3,중심잡기,★학습력,·/·/· (A/B/C경로별),·/·/· (A/B/C경로별)
시험2주전공부,2차 더깊은선택,B2,부분 위임(→직접쪽),AI에게 내 약점을 말하고 공부 순서를 받는다,10,5,15,8,7,융합하기,학습력 / ★자기이해,·/·/· (A/B/C경로별),·/·/· (A/B/C경로별)
시험2주전공부,2차 더깊은선택,B3,부분 위임(→위임쪽),내 약점과 시험 범위를 넣어 AI에게 요약본이나 예상문제를 받는다,10,25,35,10,9,융합하기,학습력 / ★자료판단력,·/·/· (A/B/C경로별),·/·/· (A/B/C경로별)
시험2주전공부,2차 더깊은선택,C1,전체 위임(→위임쪽),친구나 학원 계획표를 따라 한다,10,-10,0,7,6,성찰하기,학습력 / ★검토력,·/·/· (A/B/C경로별),·/·/· (A/B/C경로별)
시험2주전공부,2차 더깊은선택,C2,전체 위임,작년 시험지나 인터넷 요약 자료에 기대어 공부한다,10,0,10,10,8,성찰하기,★자료판단력 / 학습력,·/·/· (A/B/C경로별),·/·/· (A/B/C경로별)
시험2주전공부,2차 더깊은선택,C3,전체 위임,책상 정리나 쉬운 과목처럼 부담 없는 일부터 한다,10,-10,0,5,4,융합하기,학습력 / ★자기이해,·/·/· (A/B/C경로별),·/·/· (A/B/C경로별)
시험2주전공부,검토,R1,R1 무검토(○),계획표대로 바로 시작한다,,,10,2,1,,,,(검토 지식변화는 경로별 finals)
시험2주전공부,검토,R2,R2 표면검토(◐),빠진 단원이나 너무 빡센 일정만 고친다,,,18,5,4,성찰하기,★검토력 / 학습력,,(검토 지식변화는 경로별 finals)
시험2주전공부,검토,R3,R3 깊은검토(●),내 오답과 남은 시간을 기준으로 우선순위를 다시 잡는다,,,30,10,8,성찰하기,검토력 / ★학습력 / 자기이해 / 분석력,,(검토 지식변화는 경로별 finals)
