scenario_id,type,id,parent,label,desc,lesson,basePoint,varPoint,points,boostType,delegation,knowledge,delta_afterA_del,delta_afterA_know,delta_afterB_del,delta_afterB_know,delta_afterC_del,delta_afterC_know,stageCost_time,stageCost_energy,result_text,result_summary,result_lesson,result_deltaR2,result_deltaR3,result_basePoint,result_hiddenIssues,matchGroups,discountTags_humanCentric,discountTags_domain,discountTags_strongDomain
groupwork,tier2,B1,B,AI에게 발표 주제와 개요를 부탁한다,,AI 개요부터 받았다 — 모양은 잡히지만 우리 동네는 약하다.,10,-10,,,,,-,-,--,-,--,-,5,4,"AI가 만든 발표 주제 후보와 발표 개요가 만들어진다. 전체 흐름은 깔끔하지만, 우리 동네의 실제 상황이나 모둠이 하고 싶은 질문과 맞는지는 아직 알 수 없다.",AI 개요 + 우리 동네 정합 검토 준비,AI 개요부터 받았다 — 모양은 잡히지만 우리 동네는 약하다.,13,23,16,출처 없는 통계 숫자가 들어감;실제 책이나 자료에 없는 문장이 인용처럼 들어감;모둠의 발표 흐름과 연결되는 부분이 없음,인식·해석,중심잡기,자료판단력;표현력,자료판단력
groupwork,tier2,B2,B,AI에게 슬라이드 문구를 만들어 달라고 한다,,AI 슬라이드를 받았다 — 발표자가 설명할 수 있는 문장인지가 자리다.,10,5,,,,,0,0,0,0,0,0,4,3,"AI가 만든 슬라이드 제목과 문구가 만들어진다. 슬라이드는 보기 좋게 채워졌지만, 발표자가 직접 설명할 수 없는 문장이나 조사 자료와 다른 표현이 섞여 있을 수 있다.",AI 슬라이드 + 설명 가능 검수 준비,AI 슬라이드를 받았다 — 발표자가 설명할 수 있는 문장인지가 자리다.,8,15,58,,인식·해석;표현·소통,융합하기,표현력;검토력,표현력
groupwork,tier2,B3,B,내가 찾은 자료를 바탕으로 AI에게 발표 대본 초안을 받는다,,내 자료 위에 AI 대본 초안을 얹었다 — 매끄러운 말보다 내가 설명하고 답할 수 있는지가 핵심이다.,10,25,,,,,++,++,++,++,++,++,10,9,"AI가 만든 발표 대본이 만들어진다. 말은 자연스럽고 멋있어 보이지만, 모둠이 실제로 조사하지 않은 내용이나 내가 이해하지 못한 표현이 들어 있을 수 있다.",AI 대본 + 답할 수 있는 부분 정리 준비,AI 대본까지 맡겼다 — 매끄러우나 내가 답할 수 없으면 흔들린다.,5,12,88,,인식·해석;표현·소통,융합하기,자료판단력;표현력,자료판단력
groupwork,tier2,C1,C,모둠 회의 없이 각자 자료를 찾아 합친다,,모임 없이 자료만 모았다 — 합쳐도 하나의 발표 질문이 안 보인다.,10,-10,,,,,-,-,--,-,--,-,13,11,"각자 찾은 자료가 모이고, 그것을 슬라이드에 붙인 발표 초안이 만들어진다. 자료의 양은 많아졌지만, 하나의 발표 질문으로 이어지는지는 분명하지 않다.",각자 자료 모음 → 흐름 정합 자리,모임 없이 자료만 모았다 — 합쳐도 하나의 발표 질문이 안 보인다.,5,12,88,,인식·해석,성찰하기,협업력;자료판단력,협업력
groupwork,tier2,C2,C,발표를 잘하는 친구나 한 사람에게 많이 맡긴다,,한 사람에게 맡겼다 — 결과는 나오지만 다른 모둠원의 이해가 빈자리다.,10,5,,,,,0,0,0,0,-,0,8,7,"발표를 잘하는 친구나 자료를 많이 찾은 사람이 대본이나 슬라이드의 대부분을 만든다. 결과물은 빨리 정리되지만, 다른 모둠원이 자기 부분을 얼마나 이해하는지는 불분명하다.",한 사람 주도 → 각자 이해 점검 자리,한 사람에게 맡겼다 — 결과는 나오지만 다른 모둠원의 이해가 빈자리다.,10,20,22,다른 모둠이 들었던 예시가 그대로 남아 있음;우리 모둠 주제와 연결되지 않는 문장이 섞여 있음;출처와 만든 사람의 흔적이 섞여 있음,인식·해석;표현·소통,성찰하기,협업력;소통력,협업력
groupwork,tier2,C3,C,자료보다 발표 모양을 먼저 만든다,,모양부터 먼저 만들었다 — 깔끔해 보이지만 근거가 비어있다.,10,0,,,,,-,0,-,0,-,0,12,10,"슬라이드 디자인, 멋있어 보이는 대본, 발표 시간 맞추기처럼 발표의 모양이 먼저 정리된다. 겉보기에는 준비가 된 것 같지만, 내용의 근거와 설명이 부족할 수 있다.",모양 우선 → 빈 부분 보충 자리,모양부터 먼저 만들었다 — 깔끔해 보이지만 근거가 비어있다.,11,20,11,내가 맡은 파트의 내용을 직접 이해하지 못함;친구에게 부담이 넘어감;발표 당일 질문에 답하기 어려움,표현·소통;인식·해석,융합하기,자료판단력;검토력,자료판단력
groupwork,review,R1,,만든 자료를 바로 모둠에 공유한다,확인 없이 자료를 모둠에 넘겼다. 빠르지만 출처나 역할 연결이 어긋날 수 있다.,검토를 건너뛰었다 — 검증할 기회를 놓쳤다.,,,10,none,,,,,,,,,2,1,,,,,,,,,,,
groupwork,review,R2,,빠진 출처와 어색한 슬라이드만 확인한다,빠진 출처와 어색한 슬라이드를 확인했다. 표면 오류는 줄였지만 모둠 흐름 전체를 맞춘 것은 아니다.,한 번 훑어 명백한 오류를 잡았다. 도메인지식 +1,,,18,explicit,,,,,,,,,5,4,,,,,,,,,성찰하기,검토력;자료판단력,검토력
groupwork,review,R3,,모둠 발표 흐름과 내 설명이 맞물리는지 점검한다,내 자료가 모둠 발표 흐름 안에서 설명 가능한지 점검했다. 발표 자료를 함께 책임지는 검토다.,출처와 모둠 흐름을 다시 보니 빠진 것이 보였다. 도메인지식 +3,,,30,all,,,,,,,,,10,8,,,,,,,,,성찰하기,협업력;표현력;검토력,협업력
eorinwangja,tier1,A,,책을 직접 읽고 쓴다,어린왕자 책을 펴서 내가 읽고 그 감상으로 쓴다.,내가 읽었다 — 책 안에서 내 감상이 나온다.,10,15,,,+,+,,,,,,,1,1,,,,,,,,,중심잡기,문해력,
eorinwangja,tier1,B,,AI나 다른 도움으로 읽을 실마리를 잡는다,"AI, 요약, 소개 자료처럼 책 밖의 도움으로 읽을 부분을 찾는 길이다. 도움을 받더라도 책 안 장면을 직접 확인해야 내 감상이 생긴다.","AI나 다른 도움으로 책에 들어갈 실마리를 찾았다 — 도움은 입구가 될 수 있지만, 감상은 책 안에서 직접 만난 장면에서 나온다.",10,0,,,-,-,,,,,,,1,1,,,,,,,,,중심잡기,문해력;탐색력,
eorinwangja,tier1,C,,책 읽기를 건너뛰고 독후감을 만들어본다,"AI, 검색, 영상, 유명한 문장 같은 책 밖의 단서로 독후감을 만드는 길이다.",책 읽기를 건너뛰었다 — 결과는 빠르게 나오지만 내가 책 앞에서 멈추고 생각한 시간이 빠질 수 있다.,10,8,,,0,0,,,,,,,1,1,,,,,,,,,성찰하기,검토력,
eorinwangja,tier2,A1,A,처음부터 읽고 짧게라도 독후감을 쓴다,,처음부터 읽고 실제로 읽은 흔적을 남겼다 — 짧고 서툴어도 책이 내 안에서 나온다.,10,25,,,,,++,++,+,+,+,+,18,16,"책을 처음부터 읽고, 기억에 남는 내용과 생각을 바탕으로 짧은 독후감 초안이 만들어졌다. 글은 짧고 서툴 수 있지만, 실제로 읽은 흔적이 들어 있다.",직접 읽은 흔적이 있는 독후감,처음부터 읽고 남긴 생각은 짧아도 내 것이다 — 책이 내 안에서 나온다.,3,6,92,,인식·해석;자기성찰,중심잡기,문해력;표현력,문해력
eorinwangja,tier2,A2,A,읽다가 밑줄 친 문장이나 장면을 중심으로 쓴다,,멈춘 문장에서 감상이 나왔다 — 인상 깊은 부분이 독후감의 출발점이 된다.,10,12,,,,,+,+,+,+,+,+,16,14,"책을 읽으면서 밑줄 친 문장이나 기억에 남은 장면을 중심으로 독후감 초안이 만들어졌다. 인상 깊은 부분은 분명하지만, 그 문장이나 장면에서 내가 어떤 생각을 했는지는 아직 부족할 수 있다.",멈춘 문장 중심의 독후감,멈춘 문장이 있다면 거기서 시작한다 — 왜 멈췄는지를 쓸 때 독후감이 된다.,5,11,70,,인식·해석;표현·소통,중심잡기,문해력;분석력,문해력
eorinwangja,tier2,A3,A,이해되지 않는 부분을 붙들고 독후감을 쓴다,,막힌 자리를 솔직하게 적었다 — 이해되지 않은 부분도 책을 통과한 흔적이다.,10,0,,,,,0,+,-,0,0,0,18,16,"책을 읽다가 이해되지 않거나 헷갈린 부분을 적고, 왜 어려웠는지 쓴 독후감 초안이 만들어졌다. 완벽한 해석은 아니지만, 내가 실제로 막힌 지점이 드러난다.",이해 안 되는 부분을 솔직하게 담은 독후감,막힌 자리를 적는 것도 독후감이다 — 이해 안 됨도 책을 통과한 흔적이다.,8,15,55,,인식·해석,성찰하기,문해력;분석력,분석력
eorinwangja,tier2,B1,B,AI나 검색 요약으로 줄거리를 파악하고 중요한 장면 하나를 책에서 찾아 읽는다,,요약으로 흐름을 잡고 한 장면은 직접 확인했다 — 책 안으로 돌아왔지만 전체 맥락은 아직 얕다.,10,0,,,,,-,-,--,-,--,-,9,8,"AI나 검색으로 줄거리의 큰 흐름을 확인하고, 중요해 보이는 장면 하나를 책에서 찾아 읽은 뒤 독후감 초안이 만들어졌다. 전체를 읽지는 않았지만, 적어도 한 장면은 직접 확인했다.",요약 + 한 장면 직접 확인한 독후감,요약으로 흐름을 잡았지만 직접 읽지 않은 부분의 빈틈이 남는다 — 한 장면이 전체를 대신할 수 없다.,12,23,14,요약 내용과 실제 책 내용이 다를 수 있음;한 장면 외 다른 부분은 검증되지 않음;줄거리 이해가 표면적으로만 남을 수 있음,인식·해석,중심잡기,문해력;자료판단력,문해력
eorinwangja,tier2,B2,B,유명한 문장이나 소개 자료를 보고 그 앞뒤 장면을 직접 읽는다,,책 밖의 단서에서 시작했지만 문장이 놓인 장면은 직접 확인했다 — 유명한 말에 기대지 않고 맥락을 보려는 선택이다.,10,5,,,,,0,0,0,0,0,0,9,8,"어린왕자의 유명한 문장 하나를 고르고, 그 문장이 나오는 앞뒤 장면을 읽은 뒤 독후감 초안이 만들어졌다. 유명한 말에서 시작했지만, 문장이 놓인 상황을 일부 확인한 상태이다.",유명한 문장 앞뒤 맥락을 확인한 독후감,유명한 문장을 골랐지만 그것이 왜 그 장면에서 나왔는지 연결해야 독후감이 된다.,9,18,50,앞뒤 장면만 읽어 전체 흐름 이해가 약할 수 있음;유명 문장 중심이라 책의 다른 부분이 빠져 있음,인식·해석,융합하기,문해력;자료판단력,자료판단력
eorinwangja,tier2,B3,B,책을 읽으며 AI에게 궁금한 점을 물어보고 내 생각을 정리한다,,"책을 읽는 과정에 AI를 대화 상대로 썼다 — AI가 답을 대신 쓰는 것이 아니라, 내가 멈춘 지점을 더 생각하게 돕는 길이다.",10,25,,,,,++,++,++,++,++,++,12,10,"친구가 말해준 내용이나 영상 소개를 듣고, 그중 궁금한 장면 하나를 책에서 찾아 읽은 뒤 독후감 초안이 만들어졌다. 출발은 책 밖의 단서였지만, 일부 장면은 직접 만난 상태이다.",외부 단서에서 시작해 직접 확인한 독후감,책 밖에서 시작해도 직접 읽은 장면이 있으면 내 감상의 근거가 생긴다.,5,12,88,,인식·해석;표현·소통,융합하기,문해력;분석력;탐색력,탐색력
eorinwangja,tier2,C1,C,AI에게 줄거리와 독후감 초안을 바로 부탁한다,,AI가 만든 글에서 시작했다 — 문장은 깔끔하지만 내가 책을 읽고 만난 장면은 거의 없다.,10,-10,,,,,-,-,--,-,--,-,4,3,"AI가 줄거리와 독후감 초안을 빠르게 만들어 주었다. 문장은 그럴듯하게 정리되었지만, 내가 책에서 직접 만난 장면이나 내 감상은 거의 들어 있지 않았다.",AI 줄거리·독후감 초안,"AI 초안은 빠르게 생겼지만, 책을 직접 읽고 멈춰 생각한 과정은 대신 만들어 주지 않는다.",5,12,88,,자기성찰;인식·해석,성찰하기,검토력;문해력,검토력
eorinwangja,tier2,C2,C,검색한 줄거리나 영상 소개만 보고 독후감을 쓴다,,책 밖의 자료로 독후감을 만들었다 — 줄거리는 알지만 책의 문장과 장면 앞에서 멈춘 시간이 없다.,10,5,,,,,0,0,0,0,0,0,6,5,친구가 어린왕자는 별에서 장미를 두고 와 후회하는 이야기라고 했다. 마지막에 별로 돌아간다고 들어서 이 책은 이별에 관한 이야기 같다.,친구가 들어간 독후감,친구의 책은 친구의 것이다 — 전달 과정에서 책이 흐려진다.,10,20,28,"친구가 들려준 줄거리만 있고 책의 구체 장면이 없음;친구의 해석(""이별에 관한 이야기"")이 내 해석처럼 들어가 있음",인식·해석,성찰하기,자료판단력;문해력,자료판단력
eorinwangja,tier2,C3,C,유명한 문장이나 분위기만으로 독후감을 쓴다,,유명한 문장이나 분위기에서 바로 썼다 — 그럴듯한 감상은 만들 수 있지만 책의 구체 장면과 내 생각이 약하다.,10,15,,,,,+,+,+,+,+,+,6,5,어린왕자는 어린아이의 순수한 마음을 가진 왕자가 세상을 여행하는 이야기다. 우리는 모두 꿈을 잃지 말고 친구를 소중히 해야 한다.,일반론으로 채운 독후감,책도 자기도 통과하지 않은 자리에는 착한 말만 남는다.,11,20,12,책의 구체 장면이 한 줄도 없음;어린왕자가 아니어도 통할 만한 일반 교훈만 적힘,인식·해석,융합하기,분석력;검토력,검토력
eorinwangja,review,R1,,감상문을 바로 낸다,확인 없이 감상문을 넘겼다. 빠르지만 책과 다른 내용이나 내 감상이 아닌 문장을 놓칠 수 있다.,검토를 건너뛰었다 — 검증할 기회를 놓쳤다.,,,10,none,,,,,,,,,2,1,,,,,,,,,,,
eorinwangja,review,R2,,이상한 내용이나 책과 다른 부분만 표시한다,책과 다른 부분이나 어색한 문장을 일부 표시했다. 오류는 줄였지만 감상과 장면의 연결까지 깊게 확인한 것은 아니다.,한 번 훑어 명백한 오류를 잡았다. 도메인지식 +1,,,18,explicit,,,,,,,,,5,4,,,,,,,,,성찰하기,검토력;자료판단력,자료판단력
eorinwangja,review,R3,,책의 장면과 내 감상이 실제로 이어지는지 다시 확인한다,책의 장면과 내 감상이 이어지는지 다시 확인했다. 감상문을 내가 읽은 흔적으로 책임지는 검토다.,출처와 대조하니 미세 오류까지 보였다. 도메인지식 +3,,,30,all,,,,,,,,,10,8,,,,,,,,,성찰하기,검토력;문해력;분석력,검토력
career,tier1,A,,내가 끌리는 것과 걱정하는 것부터 찾아본다,"내가 좋아하는 것, 자주 신경 쓰는 문제, 막연하게 불안한 말을 먼저 살펴보는 길이다.",내 관심과 걱정에서 시작했다 — 진로탐구는 남의 추천이 아니라 내 질문에서 자란다.,10,15,,,+,+,,,,,,,1,1,,,,,,,,,중심잡기,자기이해;탐색력,
career,tier1,B,,AI로 가능성을 넓혀본다,"AI에게 유망한 일, 새로운 조합, 작은 프로젝트, 사라질 일과 생길 일을 물어보며 가능성을 넓혀보는 길이다.",AI로 가능성을 넓혔다 — 추천이 곧 내 진로는 아니다.,10,0,,,-,-,,,,,,,1,1,,,,,,,,,중심잡기,탐색력;분석력,
career,tier1,C,,사람들이 좋다고 말하는 길을 먼저 찾아본다,"부모님, 친구, 선생님, 유튜브, 뉴스, 인기 학과, 자격증처럼 바깥에서 좋아 보이는 기준을 따라가보는 길이다.",외부 기준을 따라갔다 — 바깥에서 좋다고 하는 말이 내 확인 없이 들어오면 그럴듯한 보고서가 된다.,10,8,,,0,0,,,,,,,1,1,,,,,,,,,성찰하기,자료판단력;분석력,
career,tier2,A1,A,내가 자주 보는 것과 좋아하는 것을 적어본다,,내 관심부터 적었다 — 어디에 마음이 쓰이는지가 진로의 출발점이다.,10,25,,,++,++,,,,,,,14,12,"내가 자주 보는 콘텐츠, 좋아하는 활동, 계속 찾아보게 되는 주제들이 적힌 관심 목록이 만들어진다. 아직 직업으로 정리되지는 않았지만, 내가 어디에 자주 마음을 쓰는지는 보이기 시작한다.",관심 목록 — 마음이 쓰이는 자리,내 관심부터 적었다 — 어디에 마음이 쓰이는지가 진로의 출발점이다.,3,6,,,실천·설계;자기성찰,중심잡기,자기이해;탐색력,자기이해
career,tier2,A2,A,AI 시대에 내가 걱정하는 말을 적어본다,,내 걱정을 적었다 — 불안은 확인할 질문으로 바꿀 수 있다.,10,12,,,+,+,,,,,,,13,11,"“AI가 내 일을 빼앗을까?”, “내가 배우는 것이 쓸모없어질까?”, “나는 뭘 잘할 수 있을까?” 같은 걱정 문장이 적힌 탐구 메모가 만들어진다. 불안은 보이지만, 아직 확인할 질문으로 정리되지는 않았다.",걱정 메모 — 불안을 확인할 질문으로,내 걱정을 적었다 — 불안은 확인할 질문으로 바꿀 수 있다.,6,11,,,실천·설계;인식·해석,중심잡기,자기이해;분석력,자기이해
